"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-03,"AN",8464411,17.838,7062213,17.598,1098720,381600,168000,1648320,19.474,17.011,0,0,0,0,99450,20000,56800,176250,2.082,1503567,459747,1043820,17.763,91.218,17.588,9849,0.116,0.659,6210,3639,158401,1.871,-3.108,12.062,981657,521910,459747,11.597,6.166,13.9,7.39,6211,3639,0.073,0.043,129973,28429,1.536,0.336,1.84,0.403,0.637,-3.377,0.702,-1.851,-1.402,-4.636,-3.583,2.973,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"AR",2021-04-03,"AR",1329391,2.802,1132764,2.823,209745,59900,35300,304945,22.939,3.147,0,0,0,0,22230,3100,13600,38930,2.928,265619,72035,193584,19.981,87.104,3.107,3359,0.253,1.281,1777,1582,33516,2.521,3.518,2.552,168827,96792,72035,12.7,7.281,14.904,8.545,1776,1582,0.134,0.119,21566,11950,1.622,0.899,1.904,1.055,1.063,-0.3,1.662,11.194,10.885,12.313,5.587,21.593,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"AS",2021-04-03,"AS",1018784,2.147,901209,2.246,203315,46000,32700,282015,27.682,2.91,0,0,0,0,21060,2400,12000,35460,3.481,242053,58743,183310,23.759,85.83,2.831,3781,0.371,1.587,2756,1025,36362,3.569,1.095,2.769,150398,91655,58743,14.763,8.997,16.688,10.17,2756,1025,0.271,0.101,24571,11791,2.412,1.157,2.726,1.308,1.867,0.2,1.131,3.014,31.858,35.538,22.739,50.251,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"IB",2021-04-03,"IB",1171543,2.469,986279,2.458,112680,52700,18000,183380,15.653,1.892,0,0,0,0,12870,2800,6900,22570,1.927,173015,74547,98468,14.768,94.348,2.024,6065,0.518,3.633,4203,1862,32346,2.761,4.03,2.463,123781,49234,74547,10.566,4.202,12.55,4.992,4203,1862,0.359,0.159,23812,8534,2.033,0.728,2.414,0.865,3.515,3.67,3.931,5.047,-18.023,-23.37,-12.155,-29.826,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"CN",2021-04-03,"CN",2175952,4.586,1871033,4.662,232800,98100,35800,366700,16.852,3.784,0,0,0,0,23400,5100,12900,41400,1.903,318372,100530,217842,14.631,86.821,3.724,1602,0.074,0.506,1438,164,50246,2.309,-10.758,3.826,209451,108921,100530,9.626,5.006,11.194,5.821,1439,164,0.066,0.008,36929,13317,1.697,0.612,1.974,0.712,0.692,-12.107,0.151,-6.783,-18.796,-17.488,-19.97,-16.399,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"CB",2021-04-03,"CB",582905,1.228,501384,1.249,97845,26200,15300,139345,23.905,1.438,0,0,0,0,9360,1400,5600,16360,2.807,120335,30707,89628,20.644,86.358,1.408,3127,0.536,2.668,2748,379,17267,2.962,6.989,1.315,75521,44814,30707,12.956,7.688,15.063,8.938,2749,379,0.472,0.065,14926,2341,2.561,0.402,2.977,0.467,3.778,7.404,0.853,4.462,14.658,17.101,7.715,28.39,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"CL",2021-04-03,"CL",2394918,5.047,2092873,5.215,463035,108100,78300,649435,27.117,6.702,0,0,0,0,49140,5700,30600,85440,3.568,562643,146019,416624,23.493,86.636,6.582,4195,0.175,0.751,3721,474,75578,3.156,-7.49,5.755,354331,208312,146019,14.795,8.698,16.93,9.953,3721,474,0.155,0.02,50134,25443,2.093,1.062,2.395,1.216,1.061,-7.13,0.228,-8.194,30.414,32.792,23.005,45.257,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"CM",2021-04-03,"CM",2045221,4.31,1719964,4.286,300555,92200,49600,442355,21.629,4.565,0,0,0,0,30420,4800,18600,53820,2.632,382287,120473,261814,18.692,86.421,4.472,13101,0.641,3.549,9074,4027,68331,3.341,6.18,5.203,251380,130907,120473,12.291,6.401,14.615,7.611,9074,4027,0.444,0.197,49692,18638,2.43,0.911,2.889,1.084,3.745,2.54,3.174,17.272,3.759,5.916,2.187,6.897,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"CT",2021-04-03,"CT",7780479,16.397,6531658,16.276,1027880,350800,168400,1547080,19.884,15.966,0,0,0,0,104130,18300,63000,185430,2.383,1353057,490039,863018,17.39,87.459,15.828,0,0,0,0,0,225095,2.893,-12.486,17.141,921548,431509,490039,11.844,5.546,14.109,6.606,0,0,0,0,195810,29285,2.517,0.376,2.998,0.448,0,-12.296,0,-13.736,-3.47,-2.629,-1.53,-7.381,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
"VC",2021-04-03,"VC",5057353,10.658,4269305,10.639,586360,228100,96800,911260,18.019,9.404,0,0,0,0,67860,12000,39000,118860,2.35,864575,340045,524530,17.095,94.877,10.114,21519,0.425,2.552,18958,2561,195531,3.866,-5.511,14.89,602310,262265,340045,11.91,5.186,14.108,6.143,18958,2561,0.375,0.051,173840,21690,3.437,0.429,4.072,0.508,3.25,-6.251,0.986,0.86,-5.104,-11.766,-0.981,-13.393,2021-06-01,2021-08-05,2021-10-10,2021-12-22,2022-07-29,2023-03-06,2021-11-01,2022-05-06,2022-11-08
