"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,739530,208600,73300,1021430,18.292,933763,91.4,255704,19.816,2.546,3.021,3.621,3.716,3.612,5.024,5.251,11.032,11.086,0,0,0,0,11655,55569,0.025,0.085,178620,77220,37000,64400,26965,163864,0.057,0.345,-81.4516129032258,-77.734375
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,130185,32700,12600,175485,3.143,153194,87.3,50190,3.251,12.158,3.775,4.431,4.531,29.489,28.52,28.324,11.524,16.041,0,0,0,0,658,2563,0.001,0.006,33950,17550,6300,10100,3368,23072,0.007,0.049,-97.3655913978495,-97.265625
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,128435,25200,12700,166335,2.979,133011,80,44596,2.823,38.743,4.377,4.948,5.035,50.135,43.536,42.605,13.056,31.47,0,0,0,0,906,4282,0.002,0.027,30580,16380,6400,7800,5381,15882,0.011,0.033,-98.2258064516129,-95.703125
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,65880,28800,6500,101180,1.812,84205,83.2,24425,1.787,-26.611,2.085,2.476,2.536,-28.494,-28.167,-28.168,7.188,-27.623,0,0,0,0,491,9607,0.001,0.006,21560,9360,3300,8900,2475,22863,0.005,0.048,-97.4193548387097,-98.046875
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,148560,53700,14300,216560,3.878,175271,80.9,54926,3.72,-15.433,2.524,2.936,3.007,-13.424,-14.849,-14.844,8.055,-18.889,0,0,0,0,325,7469,0.001,0.012,42620,18720,7300,16600,3480,29151,0.007,0.061,-96.7204301075269,-97.265625
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,62745,14300,5900,82945,1.485,68014,82,21002,1.443,20.962,3.603,4.189,4.281,23.575,21.502,21.237,11.668,17.495,0,0,0,0,243,1459,0.001,0.001,14420,7020,3000,4400,569,8870,0.001,0.019,-98.9784946236559,-99.609375
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,285195,59000,27300,371495,6.653,306277,82.4,99651,6.5,31.819,4.161,4.761,4.856,42.712,38.112,37.519,12.789,28.779,0,0,0,0,1877,12505,0.004,0.035,70610,38610,13800,18200,9705,48798,0.02,0.103,-94.4623655913978,-92.1875
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,190575,50400,18600,259575,4.649,201466,77.6,72611,4.275,7.856,3.55,4.222,4.328,21.767,22.455,22.578,9.851,-0.807,0,0,0,0,651,5750,0.001,0.009,48400,23400,9400,15600,3879,38527,0.008,0.081,-95.6451612903226,-96.875
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,651140,191900,63400,906440,16.233,774027,85.4,202956,16.426,-1.001,2.609,3.107,3.185,-10.533,-9.87,-9.794,9.948,0.178,0,0,0,0,9972,39233,0.021,0.024,171930,80730,32000,59200,14847,123700,0.031,0.261,-85.9677419354839,-87.890625
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,340660,124700,31700,497060,8.902,394021,79.3,113077,8.362,-16.48,2.236,2.649,2.714,-23.313,-23.174,-23.135,7.791,-21.546,0,0,0,0,2,5,0,0.018,107150,52650,16000,38500,11061,70516,0.023,0.149,-91.989247311828,-91.015625
