"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,244620,0,6800,251420,18.678,174279,69.3,4568,16.987,4.707,0.054,0.065,0.066,63.712,65.943,66.303,2.059,-4.771,35100,35100,0,0,2795,9459,0.006,0.085,41900,35100,6800,0,4568,64448,0.01,0.136,-85.4700854700855,-69.6969696969697
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,41265,0,1200,42465,3.155,33734,79.4,623,3.288,12.586,0.047,0.055,0.056,42.163,41.099,40.884,2.538,17.365,5850,5850,0,0,373,5418,0.001,0.006,7050,5850,1200,0,623,16691,0.001,0.035,-96.2606837606838,-96.969696969697
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,44195,0,1200,45395,3.372,36054,79.4,1687,3.514,57.072,0.166,0.187,0.19,402.324,380.247,377.129,3.539,63.679,8775,8775,0,0,402,1761,0.001,0.027,9975,8775,1200,0,1687,10776,0.004,0.023,-97.542735042735,-87.8787878787879
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,22590,0,600,23190,1.723,15697,67.7,167,1.53,-30.225,0.014,0.017,0.017,-56.758,-56.56,-56.561,1.34,-38.03,5850,5850,0,0,3,1039,0,0.006,10350,9750,600,0,167,10766,0,0.023,-97.542735042735,-100
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,46185,0,1300,47485,3.528,43599,91.8,339,4.25,-23.079,0.016,0.018,0.019,-52.739,-53.517,-53.514,2.004,-7.328,4875,4875,0,0,0,390,0,0.012,6175,4875,1300,0,339,21309,0.001,0.045,-95.1923076923077,-96.969696969697
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,20625,0,500,21125,1.569,19473,92.2,0,1.898,27.797,0,0,0,-100,-100,-100,3.341,54.51,2925,2925,0,0,0,506,0,0.001,3425,2925,500,0,0,8171,0,0.017,-98.1837606837607,-100
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,93315,0,2500,95815,7.118,74350,77.6,633,7.247,41.034,0.026,0.03,0.031,-19.82,-22.405,-22.738,3.104,43.586,16575,16575,0,0,201,3465,0,0.035,19075,16575,2500,0,633,26107,0.001,0.055,-94.1239316239316,-96.969696969697
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,61875,0,1700,63575,4.723,48755,76.7,195,4.752,9.58,0.01,0.011,0.012,-71.077,-70.914,-70.884,2.384,10.256,8775,8775,0,0,6,5073,0,0.009,10475,8775,1700,0,195,21876,0,0.046,-95.0854700854701,-100
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,211220,0,5800,217020,16.122,162830,75,913,15.871,-1.676,0.012,0.014,0.014,-64.403,-64.139,-64.109,2.093,-3.205,31200,31200,0,0,481,6203,0.001,0.024,37000,31200,5800,0,913,70697,0.002,0.149,-84.0811965811966,-93.9393939393939
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,109000,0,2900,111900,8.313,99932,89.3,1737,9.741,-22.003,0.034,0.041,0.042,4.19,4.38,4.432,1.976,-8.609,17550,17550,0,0,1149,4672,0.002,0.018,20450,17550,2900,0,1737,29062,0.004,0.061,-93.482905982906,-87.8787878787879
