"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-31,"AN",8464411,17.838,7062213,17.598,324180,0,6800,330980,3.91,NA,0,0,0,0,79560,0,0,79560,0.94,294193,144332,149861,3.476,NA,18.807,5599,0.066,1.94,1890,3709,73398,0.867,0.115,20.937,219263,74930,144333,2.59,0.885,NA,NA,1890,3709,0.022,0.044,22428,50971,0.265,0.602,0.318,0.722,0.869,-8.438,5.208,4.41,5.432,NA,-1.032,30.147
"AR",2021-01-31,"AR",1329391,2.802,1132764,2.823,55305,0,1200,56505,4.25,NA,0,0,0,0,14040,0,0,14040,1.056,54840,34520,20320,4.125,NA,3.506,451,0.034,0.829,247,204,12718,0.957,0.26,3.628,44680,10160,34520,3.361,0.764,NA,NA,247,204,0.019,0.015,4761,7957,0.358,0.599,0.42,0.702,0.556,-3.094,2.049,2.38,25.125,NA,28.429,12.353
"AS",2021-01-31,"AS",1018784,2.147,901209,2.246,58235,0,1200,59435,5.834,NA,0,0,0,0,14040,0,0,14040,1.378,56381,19570,36811,5.534,NA,3.604,1731,0.17,3.167,662,1069,13275,1.303,7.359,3.787,37976,18405,19571,3.728,1.807,NA,NA,662,1069,0.065,0.105,3174,10101,0.312,0.991,0.352,1.121,1.774,21.796,6.166,3.504,67.862,NA,42.453,165.735
"IB",2021-01-31,"IB",1171543,2.469,986279,2.458,29610,0,600,30210,2.579,NA,0,0,0,0,7020,0,0,7020,0.599,25386,16097,9289,2.167,NA,1.623,172,0.015,0.682,35,137,3831,0.327,-8.503,1.093,20742,4644,16098,1.77,0.396,NA,NA,35,137,0.003,0.012,1882,1949,0.161,0.166,0.191,0.198,0.169,-20.187,3.04,6.561,-34.265,NA,-32.365,-41.765
"CN",2021-01-31,"CN",2175952,4.586,1871033,4.662,64320,0,1300,65620,3.016,NA,0,0,0,0,18135,0,0,18135,0.833,63043,41860,21183,2.897,NA,4.03,1431,0.066,2.323,522,909,13947,0.641,3.082,3.978,52452,10591,41861,2.411,0.487,NA,NA,522,909,0.024,0.042,6973,6974,0.32,0.321,0.373,0.373,1.005,-1.636,9.389,8.275,-12.124,NA,-7.872,-28.382
"CB",2021-01-31,"CB",582905,1.228,501384,1.249,27645,0,500,28145,4.828,NA,0,0,0,0,7020,0,0,7020,1.204,22964,18699,4265,3.94,NA,1.468,661,0.113,2.964,56,605,2501,0.429,35.85,0.713,20832,2133,18699,3.574,0.366,NA,NA,58,605,0.01,0.104,610,1892,0.105,0.325,0.122,0.377,0.279,10.307,39.594,47.009,19.544,NA,36.569,-46.176
"CL",2021-01-31,"CL",2394918,5.047,2092873,5.215,121395,0,2500,123895,5.173,NA,0,0,0,0,28080,0,0,28080,1.172,121064,58456,62608,5.055,NA,7.739,3160,0.132,2.68,18,3142,29569,1.235,2.061,8.435,89760,31304,58456,3.748,1.307,NA,NA,18,3142,0.001,0.131,6681,22889,0.279,0.956,0.319,1.094,0.02,-16.975,11.157,9.391,53.339,NA,43.217,92.206
"CM",2021-01-31,"CM",2045221,4.31,1719964,4.286,82935,0,1700,84635,4.138,NA,0,0,0,0,21060,0,0,21060,1.03,82325,50721,31604,4.025,NA,5.263,2280,0.111,2.848,622,1658,22389,1.095,3.835,6.387,66523,15802,50721,3.253,0.773,NA,NA,622,1658,0.03,0.081,8457,13932,0.414,0.681,0.492,0.81,0.944,-7.564,11.722,12.237,22.111,NA,24.303,13.676
"CT",2021-01-31,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,NA,0,0,0,0,69030,0,0,69030,0.887,245227,140710,104517,3.152,NA,15.677,11327,0.146,4.843,2909,8418,64326,0.827,13.099,18.349,192969,52259,140710,2.48,0.672,NA,NA,2911,8418,0.037,0.108,18416,45911,0.237,0.59,0.282,0.703,1.532,0.86,19.201,18.891,-4.391,NA,-5.235,-1.176
"VC",2021-01-31,"VC",5057353,10.658,4269305,10.639,142930,0,2900,145830,2.884,NA,0,0,0,0,33930,0,0,33930,0.671,128163,76092,52071,2.534,NA,8.193,7945,0.157,6.609,585,7360,24055,0.476,46.222,6.862,102128,26036,76092,2.019,0.515,NA,NA,587,7360,0.012,0.146,2421,21635,0.048,0.428,0.057,0.507,0.578,18.444,39.409,50.18,-23.128,NA,-22.851,-24.265
