"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,999270,361600,111200,1472070,17.301,1375025,93.4,501832,18.161,-3.009,5.929,7.106,7.294,8.026,9.499,9.736,16.245,1.807
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,187515,56800,21700,266015,3.126,236543,88.9,85599,3.124,11.58,6.439,7.557,7.728,17.323,16.445,16.268,17.793,11.512
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,182255,43600,20700,246555,2.898,212464,86.2,81224,2.806,34.968,7.973,9.013,9.171,45.268,38.883,37.982,20.855,30.698
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,99810,49900,11100,160810,1.89,150294,93.5,43605,1.985,-23.451,3.722,4.421,4.528,-32.182,-31.872,-31.873,12.829,-19.601
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,209400,93000,22900,325300,3.823,283444,87.1,97871,3.744,-16.632,4.498,5.231,5.358,-18.046,-19.395,-19.39,13.026,-18.364
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,88485,24800,9700,122985,1.445,107067,87.1,43031,1.414,17.707,7.382,8.582,8.771,34.509,32.252,31.965,18.368,15.113
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,413895,102400,47700,563995,6.629,507694,90,188358,6.705,31.338,7.865,9,9.178,43.305,38.686,38.091,21.199,32.855
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,270135,87400,31000,388535,4.566,332205,85.5,114832,4.388,5.95,5.615,6.676,6.845,2.303,2.881,2.984,16.243,1.796
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,923750,332500,105400,1361650,16.004,1192191,87.6,411550,15.746,-2.4,5.29,6.301,6.459,-3.621,-2.906,-2.824,15.323,-3.971
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,518500,216100,57800,792400,9.313,734893,92.7,245326,9.706,-12.619,4.851,5.746,5.888,-11.613,-11.452,-11.408,14.531,-8.932
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,160955,45400,17800,224155,2.635,204735,91.3,73575,2.704,17.507,6.915,8.074,8.264,25.997,24.423,24.34,19.242,20.593
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,369835,115500,41400,526735,6.191,447652,85,144511,5.912,8.724,5.349,6.116,6.233,-2.543,-5.747,-6.229,16.569,3.836
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,45695,13600,4800,64095,0.753,59760,93.2,19519,0.789,11.767,6.101,7.208,7.38,11.171,11.076,11.026,18.68,17.069
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,753405,289800,85200,1128405,13.262,995208,88.2,325542,13.144,-7.18,4.802,5.716,5.855,-12.511,-11.924,-11.906,14.679,-8.007
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,179735,64500,19800,264035,3.103,223145,84.5,82876,2.947,-2.568,5.484,6.697,6.89,-0.078,3.201,3.668,14.766,-7.463
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,86145,28200,9700,124045,1.458,113215,91.3,36212,1.495,4.659,5.477,6.549,6.718,-0.209,0.918,1.074,17.123,7.309
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,275940,94900,30800,401640,4.72,352196,87.7,97931,4.652,0.865,4.41,5.159,5.276,-19.641,-20.496,-20.628,15.861,-0.597
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,6660,3700,900,11260,0.132,11097,98.6,3555,0.147,-25.232,4.222,5.373,5.556,-23.072,-17.197,-16.407,13.179,-17.406
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,6660,3700,800,11160,0.131,10084,90.4,2417,0.133,-28.715,2.776,3.652,3.785,-49.424,-43.72,-43.051,11.581,-27.423
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,19500,33100,0,52600,0.618,22527,42.8,4843,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,5797545,2060500,650400,8508445,100,7571439,88.987,2604209,100,0,5.488,6.489,6.647,0,0,0,15.956,0
