"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-25,"AN",8464411,17.838,7062213,17.598,1653300,651300,219200,26150,2549950,30.126,16.52,0,0,0,0,184860,61700,0,272710,3.222,2504815,1130576,1374239,29.592,98.23,17.196,23224,0.274,0.936,19583,3641,333110,3.935,-1.279,17.656,1817695,687120,1130575,21.475,8.118,25.738,9.73,19583,3641,0.231,0.043,231822,101288,2.739,1.197,3.283,1.434,1.089,-0.692,0.533,-2.596,-3.599,-7.389,-4.466,-1.719,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"AR",2021-04-25,"AR",1329391,2.802,1132764,2.823,332595,102300,45800,4100,484795,36.467,3.141,0,0,0,0,40950,9700,0,54750,4.118,459781,206816,252965,34.586,94.84,3.157,1717,0.129,0.375,176,1541,73509,5.53,-4.632,3.896,336009,126482,209527,25.275,9.514,29.663,11.166,1531,1541,0.115,0.116,60047,16172,4.517,1.216,5.301,1.428,0.458,-4.052,1.233,2.025,12.67,12.099,12.438,15.182,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"AS",2021-04-25,"AS",1018784,2.147,901209,2.246,319145,78400,42200,3150,442895,43.473,2.869,0,0,0,0,38610,7400,0,49160,4.825,423306,169739,253567,41.55,95.577,2.906,5358,0.526,1.282,4445,913,61150,6.002,-6.334,3.241,297939,126783,171156,29.245,12.445,33.06,14.068,5059,913,0.497,0.09,48140,14426,4.725,1.416,5.342,1.601,1.727,-5.837,0.725,-3.589,35.352,33.628,30.099,50.666,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"IB",2021-04-25,"IB",1171543,2.469,986279,2.458,184050,89900,24300,3600,301850,25.765,1.956,0,0,0,0,21060,8500,0,33160,2.83,292309,145288,147021,24.951,96.839,2.007,4548,0.388,1.58,2947,1601,36464,3.112,1.311,1.933,221251,73511,147740,18.885,6.275,22.433,7.453,4174,1601,0.356,0.137,28429,10488,2.427,0.895,2.882,1.063,1.923,2.892,2.226,9.387,-18.712,-20.778,-15.988,-24.031,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"CN",2021-04-25,"CN",2175952,4.586,1871033,4.662,362670,167400,47800,6700,584570,26.865,3.787,0,0,0,0,43290,15800,0,65790,3.024,553058,273621,279437,25.417,94.609,3.797,7625,0.35,1.398,5513,2112,81995,3.768,-2.189,4.346,416388,139719,276669,19.136,6.421,22.254,7.467,6952,2112,0.319,0.097,65260,19784,2.999,0.909,3.488,1.057,1.698,-2.758,1.535,7.938,-17.205,-17.423,-14.872,-22.264,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"CB",2021-04-25,"CB",582905,1.228,501384,1.249,150495,44700,19900,1800,216895,37.209,1.405,0,0,0,0,17550,4200,0,23550,4.04,194164,82215,111949,33.31,89.52,1.333,2862,0.491,1.496,2739,123,30044,5.154,1.192,1.592,138190,55974,82216,23.707,9.603,27.562,11.164,2738,123,0.47,0.021,22594,7449,3.876,1.278,4.506,1.486,2.021,2.421,0.22,-2.398,8.55,14.414,5.463,16.259,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"CL",2021-04-25,"CL",2394918,5.047,2092873,5.215,740325,184300,100800,7400,1032825,43.126,6.691,0,0,0,0,92430,17400,0,117230,4.895,941978,392311,549667,39.332,91.204,6.467,15615,0.652,1.686,13066,2549,125538,5.242,1.013,6.654,667792,274833,392959,27.884,11.476,31.908,13.132,13389,2549,0.559,0.106,101415,24770,4.235,1.034,4.846,1.184,2.046,0.402,0.936,4.984,28.136,32.574,24.045,38.935,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"CM",2021-04-25,"CM",2045221,4.31,1719964,4.286,469035,157300,63800,6300,696435,34.052,4.512,0,0,0,0,56160,14900,0,77360,3.782,646503,266314,380189,31.61,92.83,4.438,6623,0.324,1.035,5347,1276,90528,4.426,0.184,4.798,457689,190095,267594,22.378,9.295,26.61,11.052,5988,1276,0.293,0.062,67434,24375,3.297,1.192,3.921,1.417,1.326,0.694,0.676,1.423,2.97,4.687,-0.449,12.53,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"CT",2021-04-25,"CT",7780479,16.397,6531658,16.276,1607030,598600,221100,24000,2450730,31.498,15.877,0,0,0,0,193050,56700,0,273750,3.518,2329436,1078122,1251314,29.939,95.051,15.992,17129,0.22,0.741,13228,3901,281953,3.624,-1.876,14.944,1704445,625657,1078788,21.907,8.041,26.095,9.579,13559,3901,0.174,0.05,148940,133679,1.914,1.718,2.28,2.047,0.802,-2.612,0.627,-0.79,-2.47,-3.171,-2.545,-2.651,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
"VC",2021-04-25,"VC",5057353,10.658,4269305,10.639,961930,389100,131600,15600,1498230,29.625,9.707,0,0,0,0,125190,36800,0,177590,3.512,1448375,676063,772312,28.639,96.672,9.944,10922,0.216,0.76,6456,4466,188970,3.737,-0.338,10.016,1063993,386156,677837,21.039,7.636,24.922,9.045,7342,4466,0.145,0.088,111888,78856,2.212,1.559,2.621,1.847,0.695,-2.472,1.17,4.066,-6.699,-8.923,-6.406,-7.554,2021-05-13,2021-06-30,2021-08-18,2021-09-06,2022-01-09,2022-05-13,2021-08-09,2021-11-22,2022-03-07
