"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,662310,144200,36300,842810,18.692,688093,81.6,221557,20.025,4.79,2.618,3.137,3.22,0.832,2.206,2.428,8.129,12.259
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,112635,22600,6300,141535,3.139,120420,85.1,44734,3.504,12.029,3.365,3.949,4.039,29.627,28.656,28.461,9.058,25.088
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,112055,17400,6300,135755,3.011,109192,80.4,38716,3.178,40.236,3.8,4.296,4.371,46.392,39.958,39.05,10.718,48.006
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,56520,19900,3200,79620,1.766,55834,70.1,20975,1.625,-28.479,1.79,2.127,2.178,-31.031,-30.716,-30.717,4.766,-34.187
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,129840,37100,7000,173940,3.858,133624,76.8,51123,3.889,-15.88,2.349,2.732,2.799,-9.494,-10.984,-10.979,6.141,-15.198
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,55725,9900,2900,68525,1.52,53706,78.4,20018,1.563,23.761,3.434,3.993,4.08,32.292,30.072,29.789,9.214,27.232
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,246585,40800,13500,300885,6.673,236901,78.7,88071,6.894,32.221,3.677,4.208,4.292,41.662,37.096,36.507,9.892,36.599
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,167175,34800,9200,211175,4.684,154252,73,65766,4.489,8.668,3.216,3.824,3.92,23.871,24.571,24.696,7.542,4.15
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,570410,132700,31400,734510,16.29,572114,77.9,184380,16.65,-0.65,2.37,2.823,2.894,-8.711,-8.035,-7.957,7.353,1.542
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,288010,86200,15700,389910,8.648,301372,77.3,100793,8.771,-18.862,1.993,2.361,2.419,-23.226,-23.086,-23.047,5.959,-17.709
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,102455,18100,5400,125955,2.794,102762,81.6,38511,2.991,24.599,3.619,4.226,4.326,39.431,37.689,37.596,9.658,33.373
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,179125,46100,9800,235025,5.213,189969,80.8,58354,5.529,-8.456,2.16,2.47,2.517,-16.8,-19.535,-19.947,7.031,-2.905
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,28145,5400,1400,34945,0.775,25917,74.2,9204,0.754,14.99,2.877,3.399,3.48,10.829,10.734,10.684,8.101,11.872
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,464415,115600,25400,605415,13.427,392366,64.8,171359,11.419,-6.024,2.527,3.009,3.082,-2.637,-1.984,-1.963,5.787,-20.083
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,121235,25700,6600,153535,3.405,113949,74.2,49356,3.316,6.914,3.266,3.988,4.104,25.809,29.938,30.526,7.54,4.122
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,55725,11200,2900,69825,1.549,55427,79.4,20842,1.613,11.172,3.152,3.769,3.867,21.428,22.8,22.989,8.383,15.761
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,148410,37900,7900,194210,4.307,119747,61.7,45667,3.485,-7.963,2.057,2.406,2.46,-20.775,-21.619,-21.748,5.393,-25.53
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,1500,400,6220,0.138,5956,95.8,1090,0.173,-22.062,1.295,1.648,1.704,-50.133,-46.324,-45.812,7.073,-2.321
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,1500,400,5050,0.112,4557,90.2,1266,0.133,-39.129,1.454,1.913,1.983,-43.993,-37.676,-36.936,5.233,-27.731
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3508245,808600,192000,4508845,100,3436158,76.209,1231782,100,0,2.596,3.069,3.144,0,0,0,7.242,0
