"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-27,"AN",8464411,17.838,7062213,17.598,1907190,669700,248500,26150,2851540,33.689,16.322,253890,18400,29300,301590,253890,80100,29300,389440,4.601,2574292,1157286,1417006,30.413,90.277,17.168,46254,0.546,1.83,28511,17743,375049,4.431,14.068,19.197,1865789,708503,1157286,22.043,8.37,26.419,10.032,28511,17743,0.337,0.21,258719,116330,3.057,1.374,3.663,1.647,1.552,12.385,2.569,17.997,-3.756,-8.499,-5.032,-1.227,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"AR",2021-04-27,"AR",1329391,2.802,1132764,2.823,393435,105200,51800,4100,554535,41.713,3.174,60840,2900,6000,69740,60840,12600,6000,83540,6.284,468479,210777,257702,35.24,84.481,3.124,6980,0.525,1.512,6153,827,68383,5.144,-2.225,3.5,343702,128851,214851,25.854,9.692,30.342,11.375,6162,827,0.464,0.062,55783,16674,4.196,1.254,4.925,1.472,1.826,-3.005,0.646,1.097,11.492,13.276,11.387,14.373,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"AS",2021-04-27,"AS",1018784,2.147,901209,2.246,372965,80600,47600,3150,504315,49.502,2.887,53820,2200,5400,61420,53820,9600,5400,71970,7.064,436692,175254,261438,42.864,86.591,2.912,8029,0.788,1.873,5007,3022,56559,5.552,-0.798,2.895,308236,130719,177517,30.255,12.831,34.202,14.505,5237,3022,0.514,0.297,43212,15610,4.242,1.532,4.795,1.732,1.728,-4.305,2.367,12.375,35.631,34.467,30.348,51.416,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"IB",2021-04-27,"IB",1171543,2.469,986279,2.458,207450,92500,27900,3600,331450,28.292,1.897,23400,2600,3600,29600,28080,11100,3600,46380,3.959,299091,148255,150836,25.53,90.237,1.995,2233,0.191,0.752,1926,307,36156,3.086,-2.114,1.851,227376,75418,151958,19.408,6.437,23.054,7.647,1950,307,0.166,0.026,28490,11369,2.432,0.97,2.889,1.153,0.865,-2.532,0.409,-0.149,-19.198,-23.167,-16.384,-24.038,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"CN",2021-04-27,"CN",2175952,4.586,1871033,4.662,420000,167400,47800,6700,641900,29.5,3.674,57330,0,0,57330,79560,15800,0,102060,4.69,568528,279768,288760,26.128,88.57,3.792,7845,0.361,1.399,5295,2550,76264,3.505,-4.859,3.904,429445,144380,285065,19.736,6.635,22.952,7.717,6104,2550,0.281,0.117,60268,21293,2.77,0.979,3.221,1.138,1.442,-4.954,1.798,0.259,-17.314,-19.887,-14.971,-21.702,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"CB",2021-04-27,"CB",582905,1.228,501384,1.249,176235,46000,22500,1800,246535,42.294,1.411,25740,1300,2600,29640,25740,5500,2600,35640,6.114,202484,87706,114778,34.737,82.132,1.35,5458,0.936,2.77,4167,1291,31850,5.464,4.78,1.63,145106,57389,87717,24.894,9.845,28.941,11.446,4177,1291,0.717,0.221,25022,6839,4.293,1.173,4.991,1.364,2.964,8.18,2.301,-5.903,9.935,14.902,7.251,16.179,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"CL",2021-04-27,"CL",2394918,5.047,2092873,5.215,877215,189500,113700,7400,1187815,49.597,6.799,136890,5200,12900,154990,136890,22600,12900,179790,7.507,974889,409671,565218,40.707,82.074,6.502,17296,0.722,1.806,12070,5226,124550,5.201,-1.772,6.375,693811,282609,411202,28.97,11.8,33.151,13.503,12630,5226,0.527,0.218,97712,28369,4.08,1.185,4.669,1.356,1.854,-4.036,1.884,9.339,28.829,34.714,24.812,39.249,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"CM",2021-04-27,"CM",2045221,4.31,1719964,4.286,552105,161800,71900,6300,792105,38.73,4.534,83070,4500,8100,95670,83070,19400,8100,116870,5.714,659610,275642,383968,32.251,83.273,4.399,6484,0.317,0.993,5870,614,90020,4.401,-0.743,4.608,469578,191984,277594,22.96,9.387,27.302,11.162,5901,614,0.289,0.03,70599,21373,3.452,1.045,4.105,1.243,1.273,3.975,0.321,-13.522,2.065,5.197,-1.081,10.774,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"CT",2021-04-27,"CT",7780479,16.397,6531658,16.276,1887830,615500,251300,24000,2778630,35.713,15.904,280800,16900,30200,327900,280800,73600,30200,408600,5.252,2372754,1099796,1272958,30.496,85.393,15.824,26189,0.337,1.116,19268,6921,289734,3.724,4.763,14.831,1741599,636479,1105120,22.384,8.18,26.664,9.745,23596,6921,0.303,0.089,156808,138250,2.015,1.777,2.401,2.117,1.373,8.186,1.099,4.249,-3.495,-3.007,-3.563,-3.469,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
"VC",2021-04-27,"VC",5057353,10.658,4269305,10.639,1136260,4e+05,151600,15600,1703460,33.683,9.75,174330,10900,20000,205230,174330,47700,20000,257630,5.094,1508083,715473,792610,29.82,88.531,10.057,48787,0.965,3.343,43104,5683,200471,3.964,6.448,10.261,1116189,396305,719884,22.071,7.836,26.145,9.283,44853,5683,0.887,0.112,123039,81843,2.433,1.618,2.882,1.917,4.187,12.826,1.455,-0.116,-5.639,-8.519,-4.911,-7.529,2021-05-12,2021-06-28,2021-08-14,2021-08-30,2021-12-25,2022-04-21,2021-08-03,2021-11-10,2022-02-17
