"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-03,"AN",8464411,17.838,7062213,17.598,739530,208600,73300,0,1021430,12.067,18.292,77220,64400,37000,178620,77220,64400,37000,178620,2.11,796930,330062,466868,9.415,78.021,19.632,22229,0.263,2.869,17624,4605,143011,1.69,-3.398,18.462,563496,233434,330062,6.657,2.758,7.979,3.305,17624,4605,0.208,0.054,128544,14467,1.519,0.171,1.82,0.205,3.229,-5.364,2.012,18.465,10.057,2.545,13.931,1.696,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"AR",2021-03-03,"AR",1329391,2.802,1132764,2.823,130185,32700,12600,0,175485,13.2,3.143,17550,10100,6300,33950,17550,10100,6300,33950,2.554,134040,39790,94250,10.083,76.383,3.302,2599,0.196,1.977,2372,227,18621,1.401,-8.604,2.404,86915,47125,39790,6.538,3.545,7.673,4.16,2372,227,0.178,0.017,15691,2930,1.18,0.22,1.385,0.259,2.806,-8.672,0.484,-8.237,17.844,12.17,11.895,30.715,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"AS",2021-03-03,"AS",1018784,2.147,901209,2.246,128435,25200,12700,0,166335,16.327,2.979,16380,7800,6400,30580,16380,7800,6400,30580,3.002,121707,39315,82392,11.946,73.17,2.998,2970,0.292,2.501,1209,1761,17693,1.737,-7.811,2.284,80511,41196,39315,7.903,4.044,8.934,4.571,1209,1761,0.119,0.173,14920,2773,1.464,0.272,1.656,0.308,1.525,-15.735,4.466,86.608,39.637,38.752,35.256,49.115,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"IB",2021-03-03,"IB",1171543,2.469,986279,2.458,65880,28800,6500,0,101180,8.636,1.812,9360,8900,3300,21560,9360,8900,3300,21560,1.84,62033,17181,44852,5.295,61.31,1.528,374,0.032,0.607,109,265,7877,0.672,-11.075,1.017,39607,22426,17181,3.381,1.914,4.016,2.274,109,265,0.009,0.023,6027,1850,0.514,0.158,0.611,0.188,0.276,-16.949,1.196,15.553,-38.113,-26.61,-42.136,-29.425,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"CN",2021-03-03,"CN",2175952,4.586,1871033,4.662,148560,53700,14300,0,216560,9.952,3.878,18720,16600,7300,42620,18720,16600,7300,42620,1.959,157037,49873,107164,7.217,72.514,3.869,8879,0.408,5.993,6776,2103,29243,1.344,13.108,3.775,103455,53582,49873,4.754,2.462,5.529,2.864,6776,2103,0.311,0.097,25728,3515,1.182,0.162,1.375,0.188,7.009,5.872,4.085,126.336,-15.635,-15.438,-18.638,-9.218,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"CB",2021-03-03,"CB",582905,1.228,501384,1.249,62745,14300,5900,0,82945,14.23,1.485,7020,4400,3000,14420,7020,4400,3000,14420,2.474,62843,21675,41168,10.781,75.765,1.548,2875,0.493,4.794,2875,0,11545,1.981,4.641,1.49,42259,20584,21675,7.25,3.531,8.428,4.105,2875,0,0.493,0,10924,621,1.874,0.107,2.179,0.124,7.3,6.027,0,-14.932,26.059,20.928,24.08,30.199,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"CL",2021-03-03,"CL",2394918,5.047,2092873,5.215,285195,59000,27300,0,371495,15.512,6.653,38610,18200,13800,70610,38610,18200,13800,70610,2.948,272552,86504,186048,11.38,73.366,6.714,8871,0.37,3.364,6579,2292,43069,1.798,5.959,5.56,179528,93024,86504,7.496,3.884,8.578,4.445,6579,2292,0.275,0.096,37389,5680,1.561,0.237,1.786,0.271,3.804,2.81,2.526,32.71,33.03,31.821,28.29,43.215,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"CM",2021-03-03,"CM",2045221,4.31,1719964,4.286,190575,50400,18600,0,259575,12.692,4.649,23400,15600,9400,48400,23400,15600,9400,48400,2.366,169166,28902,140264,8.271,65.17,4.167,4340,0.212,2.633,3440,900,18807,0.92,1.037,2.428,99034,70132,28902,4.842,3.429,5.758,4.078,3440,900,0.168,0.044,13595,5212,0.665,0.255,0.79,0.303,3.599,8.008,1.3,-13.522,-3.318,7.865,-17.132,26.438,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"CT",2021-03-03,"CT",7780479,16.397,6531658,16.276,651140,191900,63400,0,906440,11.65,16.233,80730,59200,32000,171930,80730,59200,32000,171930,2.21,676590,296792,379798,8.696,74.643,16.668,18816,0.242,2.861,17735,1081,145574,1.871,-5.166,18.792,486691,189899,296792,6.255,2.441,7.451,2.907,17735,1081,0.228,0.014,139029,6545,1.787,0.084,2.129,0.1,3.782,-5.113,0.573,-6.272,1.653,-1,7.051,-9.993,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
"VC",2021-03-03,"VC",5057353,10.658,4269305,10.639,340660,124700,31700,0,497060,9.828,8.902,52650,38500,16000,107150,52650,38500,16000,107150,2.119,349392,137958,211434,6.909,70.292,8.607,25887,0.512,8.002,22186,3701,62430,1.234,26.052,8.059,243675,105717,137958,4.818,2.09,5.708,2.476,22186,3701,0.439,0.073,56922,5508,1.126,0.109,1.333,0.129,10.017,22.266,3.628,85.392,-19.244,-16.476,-17.542,-22.935,2021-06-24,2021-09-25,2021-12-28,2024-12-06,2027-09-09,2030-06-12,2024-04-19,2026-08-21,2028-12-21
