"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-11,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,0,545910,6.449,18.729,0,0,0,0,74880,34500,19700,129080,1.525,415015,78841,336174,4.903,76.023,17.885,13301,0.157,3.311,5183,8118,69367,0.82,-4.263,15.24,246928,168087,78841,2.917,1.986,3.496,2.38,5183,8118,0.061,0.096,19233,50134,0.227,0.592,0.272,0.71,2.144,13.029,5.075,-9.571,0.263,4.995,0.517,-0.101,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"AR",2021-02-11,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,0,92745,6.977,3.182,0,0,0,0,12870,5400,3400,21670,1.63,84487,18515,65972,6.355,91.096,3.641,4276,0.322,5.331,633,3643,18508,1.392,-3.478,4.066,51501,32986,18515,3.874,2.481,4.546,2.912,633,3643,0.048,0.274,5057,13451,0.38,1.012,0.446,1.187,1.244,1.363,12.415,-5.181,29.943,13.562,33.494,24.799,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"AS",2021-02-11,"AS",1018784,2.147,901209,2.246,83975,4200,6300,0,94475,9.273,3.241,0,0,0,0,14040,4200,3400,21640,2.124,77168,11756,65412,7.575,81.681,3.325,2050,0.201,2.729,1640,410,11867,1.165,-12.967,2.607,44462,32706,11756,4.364,3.21,4.934,3.629,1640,410,0.161,0.04,4871,6996,0.478,0.687,0.54,0.776,3.83,36.596,1.27,-30.519,54.867,50.955,50.379,61.469,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"IB",2021-02-11,"IB",1171543,2.469,986279,2.458,42480,4800,3200,0,50480,4.309,1.732,0,0,0,0,7020,4800,1700,13520,1.154,38969,7817,31152,3.326,77.197,1.679,1284,0.11,3.407,272,1012,9603,0.82,-16.094,2.11,23393,15576,7817,1.997,1.33,2.372,1.579,272,1012,0.023,0.086,1956,7647,0.167,0.653,0.198,0.775,1.176,-8.726,6.949,-17.792,-31.997,-29.85,-31.185,-33.099,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"CN",2021-02-11,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,0,109470,5.031,3.756,0,0,0,0,14040,8900,3800,26740,1.229,86467,26533,59934,3.974,78.987,3.726,0,0,0,0,0,11133,0.512,-28.967,2.446,56500,29967,26533,2.597,1.377,3.02,1.602,0,0,0,0,1426,9707,0.066,0.446,0.076,0.519,0,-49.7,0,-24.389,-18.753,-18.099,-10.51,-30.734,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"CB",2021-02-11,"CB",582905,1.228,501384,1.249,39345,2400,2900,0,44645,7.659,1.532,0,0,0,0,5850,2400,1600,9850,1.69,38217,5699,32518,6.556,85.602,1.647,1897,0.325,5.223,31,1866,10228,1.755,6.519,2.247,21958,16259,5699,3.767,2.789,4.379,3.243,31,1866,0.005,0.32,1091,9137,0.187,1.567,0.218,1.822,0.141,1.963,12.965,7.091,34.121,24.756,29.807,40.292,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"CL",2021-02-11,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,0,200855,8.387,6.891,0,0,0,0,28080,9800,7300,45180,1.886,172686,27798,144888,7.211,85.975,7.442,4656,0.194,2.771,1557,3099,33830,1.413,-4.795,7.432,100242,72444,27798,4.186,3.025,4.79,3.461,1557,3099,0.065,0.129,7068,26762,0.295,1.117,0.338,1.279,1.578,4.649,4.469,-7.012,47.454,36.537,44.245,52.163,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"CM",2021-02-11,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,0,137875,6.741,4.73,0,0,0,0,18720,8300,5000,32020,1.566,113637,37255,76382,5.556,82.42,4.897,4001,0.196,3.649,1341,2660,16284,0.796,-3.838,3.578,75446,38191,37255,3.689,1.867,4.386,2.22,1341,2660,0.066,0.13,5784,10500,0.283,0.513,0.336,0.61,1.81,-2.429,7.486,-4.597,13.619,9.745,27.119,-6.087,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"CT",2021-02-11,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,0,473320,6.083,16.239,0,0,0,0,64350,31800,17100,113250,1.456,357875,65717,292158,4.6,75.61,15.422,17146,0.22,5.032,9467,7679,72046,0.926,7.523,15.829,211796,146079,65717,2.722,1.878,3.243,2.236,9467,7679,0.122,0.099,17691,54355,0.227,0.699,0.271,0.832,4.679,96.742,5.548,-6.305,-5.946,-0.964,-6.203,-5.533,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
"VC",2021-02-11,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,0,243580,4.816,8.357,0,0,0,0,31590,20600,8700,60890,1.204,208242,26722,181520,4.118,85.492,8.974,6259,0.124,3.099,5021,1238,35488,0.702,-9.975,7.797,117482,90760,26722,2.323,1.795,2.752,2.126,5021,1238,0.099,0.024,12568,22920,0.249,0.453,0.294,0.537,4.465,50.515,1.383,-26.231,-15.8,-21.589,-19.952,-9.708,2023-08-16,2025-06-22,2027-04-30,2021-10-29,2022-05-03,2022-11-05,2021-09-16,2022-02-20,2022-07-28
