"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-06,"AN",8464411,17.838,7062213,17.598,400230,0,16600,416830,4.925,18.787,0,0,0,0,76050,0,9800,85850,1.014,368636,97344,271292,4.355,88.438,18.185,5154,0.061,1.418,1201,3953,80042,0.946,-0.553,15.759,232990,135646,97344,2.753,1.603,3.299,1.921,1201,3953,0.014,0.047,15617,64425,0.185,0.761,0.221,0.912,0.518,-4.22,3.002,0.379,1.945,5.32,-0.254,6.019
"AR",2021-02-06,"AR",1329391,2.802,1132764,2.823,68175,0,2900,71075,5.346,3.203,0,0,0,0,12870,0,1700,14570,1.096,73321,25750,47571,5.515,103.16,3.617,665,0.05,0.915,368,297,18932,1.424,1.138,3.727,49535,23785,25750,3.726,1.789,4.373,2.1,367,297,0.028,0.022,5102,13829,0.384,1.04,0.45,1.221,0.746,2.388,1.264,0.677,29.086,14.311,35,18.32
"AS",2021-02-06,"AS",1018784,2.147,901209,2.246,69935,0,2900,72835,7.149,3.283,0,0,0,0,11700,0,1700,13400,1.315,69679,10381,59298,6.839,95.667,3.437,1053,0.103,1.534,144,909,15029,1.475,-4.317,2.959,40030,29649,10381,3.929,2.91,4.442,3.29,144,909,0.014,0.089,2716,12313,0.267,1.209,0.301,1.366,0.361,-15.991,3.163,-1.291,60.084,52.911,42.355,92.46
"IB",2021-02-06,"IB",1171543,2.469,986279,2.458,35460,0,1500,36960,3.155,1.666,0,0,0,0,5850,0,900,6750,0.576,32892,10709,22183,2.808,88.994,1.623,1396,0.119,4.432,227,1169,7678,0.655,18.947,1.512,21800,11091,10709,1.861,0.947,2.21,1.125,226,1169,0.019,0.1,1093,6584,0.093,0.562,0.111,0.668,1.048,21.175,11.782,18.567,-34.265,-32.523,-32.572,-37.368
"CN",2021-02-06,"CN",2175952,4.586,1871033,4.662,79530,0,3200,82730,3.802,3.729,0,0,0,0,15210,0,1900,17110,0.786,81336,30499,50837,3.738,98.315,4.012,1497,0.069,1.875,127,1370,19724,0.906,0.331,3.883,55917,25419,30498,2.57,1.168,2.989,1.359,127,1370,0.006,0.063,3987,15737,0.183,0.723,0.213,0.841,0.228,-9.014,5.697,3.011,-12.516,-18.687,-6.884,-22.751
"CB",2021-02-06,"CB",582905,1.228,501384,1.249,33495,0,1300,34795,5.969,1.568,0,0,0,0,5850,0,800,6650,1.141,31314,11288,20026,5.372,89.996,1.545,1450,0.249,4.855,243,1207,9011,1.546,9.583,1.774,21301,10013,11288,3.654,1.718,4.248,1.997,243,1207,0.042,0.207,527,8485,0.09,1.456,0.105,1.692,1.154,54.545,13.707,7.65,25.814,27.687,32.391,13.624
"CL",2021-02-06,"CL",2394918,5.047,2092873,5.215,149475,0,6200,155675,6.5,7.016,0,0,0,0,28080,0,3700,31780,1.327,154345,36840,117505,6.445,99.146,7.614,3337,0.139,2.21,1249,2088,36441,1.522,0.485,7.175,95593,58753,36840,3.991,2.453,4.568,2.807,1250,2088,0.052,0.087,5851,30591,0.244,1.277,0.28,1.462,1.325,26.645,3.685,-3.331,50.862,39.013,44.601,62.235
"CM",2021-02-06,"CM",2045221,4.31,1719964,4.286,101655,0,4200,105855,5.176,4.771,0,0,0,0,18720,0,2500,21220,1.038,103018,41139,61879,5.037,97.32,5.082,985,0.048,0.965,390,595,22973,1.123,-5.336,4.523,72078,30940,41138,3.524,1.513,4.191,1.799,390,595,0.019,0.029,6177,16796,0.302,0.821,0.359,0.977,0.544,-3.62,1.961,-5.952,17.912,10.696,27.681,0.066
"CT",2021-02-06,"CT",7780479,16.397,6531658,16.276,345770,0,14300,360070,4.628,16.228,0,0,0,0,65520,0,8500,74020,0.951,311537,87206,224331,4.004,86.521,15.368,2842,0.037,0.921,-1446,4288,77637,0.998,-9.853,15.286,199372,112165,87207,2.562,1.442,3.052,1.717,-1446,4288,-0.019,0.055,9314,68324,0.12,0.878,0.143,1.046,-0.72,-31.865,3.975,-5.699,-6.276,-1.031,-7.174,-4.63
"VC",2021-02-06,"VC",5057353,10.658,4269305,10.639,175690,0,7000,182690,3.612,8.234,0,0,0,0,32760,0,4100,36860,0.729,185117,28900,156217,3.66,101.328,9.132,2892,0.057,1.587,361,2531,64899,1.283,-7.225,12.778,107009,78108,28901,2.116,1.544,2.506,1.83,361,2531,0.007,0.05,5468,59432,0.108,1.175,0.128,1.392,0.338,-3.952,3.349,-7.513,-14.318,-22.743,-23.333,2.116
