"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,209520,0,6800,216320,18.921,164820,76.2,1773,17.06,6.069,0.021,0.025,0.026,6.405,7.855,8.089,1.947,-4.361,0,0,0,0,1240,13416,0.003,0.085,76025,69225,6800,0,1773,69941,0.004,0.147,-85.4021847070506,-80
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,35415,0,1200,36615,3.203,28316,77.3,250,2.931,14.296,0.019,0.022,0.023,-4.471,-5.186,-5.33,2.13,4.617,0,0,0,0,250,3183,0.001,0.006,12900,11700,1200,0,250,16333,0.001,0.034,-96.6236345580933,-95
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,35420,0,1200,36620,3.203,34293,93.6,1285,3.55,49.185,0.126,0.143,0.145,540.724,512.564,508.587,3.366,65.328,0,0,0,0,1083,721,0.002,0.027,12900,11700,1200,0,1285,11865,0.003,0.025,-97.5173783515392,-85
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,16740,0,600,17340,1.517,14658,84.5,164,1.517,-38.572,0.014,0.017,0.017,-28.889,-28.564,-28.566,1.251,-38.548,0,0,0,0,9,908,0,0.006,4500,3900,600,0,164,9823,0,0.021,-97.914597815293,-100
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,41310,0,1300,42610,3.727,43209,101.4,339,4.473,-18.732,0.016,0.018,0.019,-20.859,-22.162,-22.158,1.986,-2.468,0,0,0,0,12,1096,0,0.012,14950,13650,1300,0,339,27881,0.001,0.059,-94.1410129096326,-95
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,17700,0,500,18200,1.592,18967,104.2,0,1.963,29.632,0,0,0,-100,-100,-100,3.254,59.817,0,0,0,0,0,1243,0,0.001,6350,5850,500,0,0,9440,0,0.02,-98.0139026812314,-100
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,76740,0,2500,79240,6.931,70885,89.5,432,7.337,37.325,0.018,0.021,0.021,-8.369,-11.322,-11.703,2.96,45.374,0,0,0,0,308,3806,0.001,0.035,27850,25350,2500,0,432,29545,0.001,0.062,-93.8430983118173,-95
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,53100,0,1700,54800,4.793,43682,79.7,189,4.521,11.21,0.009,0.011,0.011,-53.057,-52.792,-52.744,2.136,4.902,0,0,0,0,189,5361,0,0.009,19250,17550,1700,0,189,20340,0,0.043,-95.7298907646475,-100
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,180020,0,5800,185820,16.253,156627,84.3,432,16.212,-0.879,0.006,0.007,0.007,-71.795,-71.586,-71.562,2.013,-1.126,0,0,0,0,265,11554,0.001,0.024,65275,59475,5800,0,432,73842,0.001,0.156,-84.5084409136048,-95
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,91450,0,2900,94350,8.252,95260,101,588,9.86,-22.571,0.012,0.014,0.014,-40.939,-40.831,-40.801,1.884,-7.485,0,0,0,0,436,1565,0.001,0.018,33125,30225,2900,0,588,38037,0.001,0.08,-92.0556107249255,-95
