"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,899820,343800,111200,1354820,17.631,1163449,85.9,406759,19.412,-1.16,4.806,5.76,5.912,20.852,22.5,22.765,13.745,8.824
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,165285,54000,21700,240985,3.136,194938,80.9,66924,3.253,11.923,5.034,5.908,6.042,26.603,25.655,25.464,14.664,16.096
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,161195,41500,20700,223395,2.907,177134,79.3,68103,2.956,35.406,6.685,7.557,7.69,68.112,60.723,59.68,17.387,37.655
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,86940,47500,11100,145540,1.894,117035,80.4,32845,1.953,-23.289,2.804,3.33,3.411,-29.494,-29.172,-29.173,9.99,-20.908
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,186000,88400,22900,297300,3.869,228382,76.8,73061,3.811,-15.636,3.358,3.905,4,-15.559,-16.949,-16.945,10.496,-16.903
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,79125,23600,9700,112425,1.463,85106,75.7,31378,1.42,19.141,5.383,6.258,6.396,35.376,33.105,32.815,14.6,15.594
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,364755,97300,47700,509755,6.634,389307,76.4,129760,6.496,31.439,5.418,6.2,6.323,36.259,31.867,31.301,16.256,28.699
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,239715,83100,31000,353815,4.604,254487,71.9,86593,4.246,6.831,4.234,5.035,5.162,6.477,7.078,7.186,12.443,-1.486
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,819620,316100,105400,1241120,16.151,915213,73.7,260858,15.27,-1.498,3.353,3.994,4.094,-15.684,-15.059,-14.987,11.763,-6.87
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,450640,205400,57800,713840,9.29,530413,74.3,176797,8.85,-12.839,3.496,4.141,4.244,-12.084,-11.924,-11.88,10.488,-16.965
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,143405,43200,17800,204405,2.66,156742,76.7,57469,2.615,18.646,5.401,6.307,6.455,35.835,34.138,34.048,14.732,16.633
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,313675,109800,41400,464875,6.05,370076,79.6,108250,6.175,6.247,4.007,4.582,4.669,0.76,-2.553,-3.052,13.697,8.445
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,41015,12900,4800,58715,0.764,48465,82.5,15104,0.809,13.367,4.721,5.578,5.71,18.734,18.632,18.579,15.149,19.941
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,667995,275500,85200,1028695,13.387,814603,79.2,210252,13.592,-6.306,3.101,3.691,3.782,-22.011,-21.488,-21.471,12.015,-4.875
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,162185,61300,19800,243285,3.166,185005,76,58598,3.087,-0.596,3.877,4.735,4.872,-2.487,0.712,1.169,12.242,-3.079
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,76785,26800,9700,113285,1.474,90919,80.3,29319,1.517,5.832,4.434,5.302,5.439,11.515,12.775,12.949,13.751,8.867
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,238500,90200,30800,359500,4.678,254750,70.9,69823,4.251,-0.034,3.144,3.679,3.761,-20.921,-21.763,-21.892,11.473,-9.169
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,3500,900,9890,0.129,9424,95.3,2541,0.157,-27.286,3.018,3.841,3.971,-24.108,-18.312,-17.532,11.192,-11.389
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,3500,800,8620,0.112,7915,91.8,2379,0.132,-39.034,2.732,3.595,3.726,-31.291,-23.543,-22.634,9.09,-28.034
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,5106465,1927400,650400,7684265,100,5993363,77.995,1886813,100,0,3.976,4.702,4.816,0,0,0,12.631,0
