"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-26,"AN",8464411,17.838,7062213,17.598,662310,144200,36300,842810,9.957,18.692,0,0,0,0,93600,69700,0,163300,1.929,724385,499317,450136,8.558,85.949,20.09,36292,32781,7022,0.429,5.274,162582,146235,32694,1.921,-10.235,24.28,499317,274249,225068,5.899,2.659,3.24,7.07,3.187,3.883,32781,3511,0.387,0.041,146235,16347,1.728,0.193,2.071,0.231,7.026,-9.839,1.585,-13.627,12.625,4.788,18.525,1.45
"AR",2021-02-26,"AR",1329391,2.802,1132764,2.823,112635,22600,6300,141535,10.647,3.139,0,0,0,0,16380,10900,0,27280,2.052,126328,80397,91862,9.503,89.256,3.504,5908,4711,2394,0.444,4.906,19699,16197,7004,1.482,6.689,2.942,80397,34466,45931,6.048,3.455,2.593,7.097,4.055,3.043,4711,1197,0.354,0.09,16197,3502,1.218,0.263,1.43,0.309,6.224,10.371,2.676,-7.575,25.054,12.027,21.519,31.82
"AS",2021-02-26,"AS",1018784,2.147,901209,2.246,112055,17400,6300,135755,13.325,3.011,0,0,0,0,14040,8400,0,22440,2.203,109192,70476,77432,10.718,80.433,3.028,0,0,0,0,0,19069,16745,4648,1.872,-19.655,2.848,70476,31760,38716,6.918,3.8,3.117,7.82,4.296,3.524,0,0,0,0,16745,2324,1.644,0.228,1.858,0.258,0,-17.386,0,-32.929,41.034,40.242,38.999,44.983
"IB",2021-02-26,"IB",1171543,2.469,986279,2.458,56520,19900,3200,79620,6.796,1.766,0,0,0,0,7020,9600,0,16620,1.419,57292,36168,42248,4.89,71.957,1.589,1458,1309,298,0.124,2.611,6371,5746,1250,0.544,-29.29,0.951,36168,15044,21124,3.087,1.803,1.284,3.667,2.142,1.525,1309,149,0.112,0.013,5746,625,0.49,0.053,0.583,0.063,3.755,-27.641,0.71,-41.534,-35.642,-28.473,-37.975,-31.209
"CN",2021-02-26,"CN",2175952,4.586,1871033,4.662,129840,37100,7000,173940,7.994,3.858,0,0,0,0,18720,17900,0,36620,1.683,138557,87326,102462,6.368,79.658,3.843,4933,4825,216,0.227,3.692,23015,20543,4944,1.058,5.928,3.437,87326,36095,51231,4.013,2.354,1.659,4.667,2.738,1.929,4825,108,0.222,0.005,20543,2472,0.944,0.114,1.098,0.132,5.848,18.043,0.211,-42.831,-16.201,-15.874,-19.369,-10.187
"CB",2021-02-26,"CB",582905,1.228,501384,1.249,55725,9900,2900,68525,11.756,1.52,0,0,0,0,8190,4800,0,12990,2.228,56389,36043,40692,9.674,82.29,1.564,2683,2355,656,0.46,4.996,10554,9584,1940,1.811,17.189,1.576,36043,15697,20346,6.183,3.49,2.693,7.189,4.058,3.131,2355,328,0.404,0.056,9584,970,1.644,0.166,1.912,0.193,6.991,18.233,1.639,7.778,27.362,23.779,24.231,33.155
"CL",2021-02-26,"CL",2394918,5.047,2092873,5.215,246585,40800,13500,300885,12.563,6.673,0,0,0,0,35100,19700,0,54800,2.288,245671,156879,177584,10.258,81.649,6.814,8770,8049,1442,0.366,3.702,36764,32024,9480,1.535,6.751,5.49,156879,68087,88792,6.55,3.708,2.843,7.496,4.243,3.253,8049,721,0.336,0.03,32024,4740,1.337,0.198,1.53,0.226,5.408,8.336,0.819,-2.849,35.011,32.217,31.605,41.473
"CM",2021-02-26,"CM",2045221,4.31,1719964,4.286,167175,34800,9200,211175,10.325,4.684,0,0,0,0,23400,16800,0,40200,1.966,160235,93290,133890,7.835,75.878,4.444,5983,4804,2358,0.293,3.879,20095,12995,14200,0.983,19.514,3.001,93290,26345,66945,4.561,3.273,1.288,5.424,3.892,1.532,4804,1179,0.235,0.058,12995,7100,0.635,0.347,0.756,0.413,5.429,38.495,1.793,-4.454,3.109,8.677,-8.358,24.876
"CT",2021-02-26,"CT",7780479,16.397,6531658,16.276,570410,132700,31400,734510,9.44,16.29,0,0,0,0,80730,64100,0,144830,1.861,614048,427780,372536,7.892,83.6,17.03,41934,40046,3776,0.539,7.33,148479,138497,19964,1.908,15.16,22.173,427780,241512,186268,5.498,2.394,3.104,6.549,2.852,3.698,40046,1888,0.515,0.024,138497,9982,1.78,0.128,2.12,0.153,10.328,20.451,1.024,-28.45,3.86,-0.653,10.468,-8.661
"VC",2021-02-26,"VC",5057353,10.658,4269305,10.639,288010,86200,15700,389910,7.71,8.648,0,0,0,0,40950,41700,0,82650,1.634,313175,211845,202660,6.192,80.32,8.686,11803,11266,1074,0.233,3.916,58673,54727,7892,1.16,-13.134,8.762,211845,110515,101330,4.189,2.004,2.185,4.962,2.373,2.589,11266,537,0.223,0.011,54727,3946,1.082,0.078,1.282,0.092,5.617,-13.782,0.533,-3.023,-18.503,-18.859,-15.833,-23.541
