"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,140295,0,0,140295,18.859,81387,58,0,20.042,5.722,0,0,0,NA,NA,NA,0.962,12.351
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,23715,0,0,23715,3.188,10998,46.4,0,2.708,13.769,0,0,0,NA,NA,NA,0.827,-3.332
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,23720,0,0,23720,3.188,18943,79.9,0,4.665,48.509,0,0,0,NA,NA,NA,1.859,117.264
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,12840,0,0,12840,1.726,4652,36.2,0,1.146,-30.094,0,0,0,NA,NA,NA,0.397,-53.602
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,27660,0,0,27660,3.718,13607,49.2,0,3.351,-18.925,0,0,0,NA,NA,NA,0.625,-26.931
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,11850,0,0,11850,1.593,8474,71.5,0,2.087,29.715,0,0,0,NA,NA,NA,1.454,69.868
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,51390,0,0,51390,6.908,36205,70.5,0,8.915,36.872,0,0,0,NA,NA,NA,1.512,76.644
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,35550,0,0,35550,4.779,19209,54,0,4.73,10.875,0,0,0,NA,NA,NA,0.939,9.745
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,120545,0,0,120545,16.204,68405,56.7,0,16.845,-1.178,0,0,0,NA,NA,NA,0.879,2.731
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,61225,0,0,61225,8.23,45674,74.6,0,11.247,-22.781,0,0,0,NA,NA,NA,0.903,5.528
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,21725,0,0,21725,2.92,9303,42.8,0,2.291,30.255,0,0,0,NA,NA,NA,0.874,2.166
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,37555,0,0,37555,5.048,30418,81,0,7.49,-11.341,0,0,0,NA,NA,NA,1.126,31.551
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,5915,0,0,5915,0.795,3457,58.4,0,0.851,17.968,0,0,0,NA,NA,NA,1.081,26.266
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,98790,0,0,98790,13.28,24897,25.2,0,6.131,-7.058,0,0,0,NA,NA,NA,0.367,-57.091
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,25685,0,0,25685,3.453,10361,40.3,0,2.551,8.403,0,0,0,NA,NA,NA,0.686,-19.89
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,11850,0,0,11850,1.593,5468,46.1,0,1.346,14.351,0,0,0,NA,NA,NA,0.827,-3.369
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,31605,0,0,31605,4.248,13103,41.5,0,3.227,-9.222,0,0,0,NA,NA,NA,0.59,-31.049
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1005,0,0,1005,0.135,698,69.5,0,0.172,-23.676,0,0,0,NA,NA,NA,0.829,-3.138
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1005,0,0,1005,0.135,832,82.8,0,0.205,-26.579,0,0,0,NA,NA,NA,0.955,11.646
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,0.846,0.826,743925,0,0,743925,100,406091,0.546,0,100,0,0,0,0,NA,NA,NA,0.856,0
