"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,324180,0,6800,330980,18.709,257976,77.9,50951,19.018,4.885,0.602,0.721,0.741,65.039,67.289,67.651,3.048,6.615
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,55305,0,1200,56505,3.194,47835,84.7,5860,3.526,13.993,0.441,0.517,0.529,20.858,19.954,19.771,3.598,25.872
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,58235,0,1200,59435,3.36,49077,82.6,13727,3.618,56.484,1.347,1.523,1.55,269.424,253.188,250.895,4.817,68.512
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,29610,0,600,30210,1.708,23603,78.1,3114,1.74,-30.835,0.266,0.316,0.323,-27.123,-26.789,-26.791,2.015,-29.523
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,64320,0,1300,65620,3.709,54653,83.3,6434,4.029,-19.116,0.296,0.344,0.352,-18.929,-20.264,-20.259,2.512,-12.138
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,27645,0,500,28145,1.591,20910,74.3,300,1.542,29.557,0.051,0.06,0.061,-85.889,-86.126,-86.156,3.587,25.485
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,121395,0,2500,123895,7.003,104197,84.1,18756,7.682,38.765,0.783,0.896,0.914,114.724,107.803,106.911,4.351,52.195
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,82935,0,1700,84635,4.784,68522,81,6982,5.052,11.002,0.341,0.406,0.416,-6.401,-5.873,-5.778,3.35,17.2
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,280250,0,5800,286050,16.17,201650,70.5,18426,14.866,-1.387,0.237,0.282,0.289,-35.068,-34.587,-34.532,2.592,-9.337
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,142930,0,2900,145830,8.243,108454,74.4,7304,7.995,-22.655,0.144,0.171,0.175,-60.402,-60.33,-60.31,2.144,-24.983
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,50975,0,1000,51975,2.938,37790,72.7,3134,2.786,31.044,0.295,0.344,0.352,-19.24,-20.249,-20.303,3.552,24.244
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,87865,0,1800,89665,5.069,72676,81.1,14235,5.358,-10.985,0.527,0.603,0.614,44.455,39.706,38.991,2.69,-5.904
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,14105,0,200,14305,0.809,9618,67.2,684,0.709,19.974,0.214,0.253,0.259,-41.379,-41.429,-41.455,3.006,5.169
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,228075,0,4700,232775,13.158,174094,74.8,5611,12.834,-7.908,0.083,0.099,0.101,-77.309,-77.157,-77.152,2.568,-10.175
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,59225,0,1200,60425,3.416,50957,84.3,7453,3.757,7.242,0.493,0.602,0.62,35.215,39.653,40.285,3.372,17.951
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,27645,0,500,28145,1.591,20057,71.3,2541,1.479,14.211,0.384,0.46,0.471,5.367,6.558,6.722,3.033,6.114
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,74700,0,1400,76100,4.302,50850,66.8,6637,3.749,-8.083,0.299,0.35,0.358,-18.049,-18.922,-19.056,2.29,-19.892
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.123,1829,83.9,503,0.135,-30.379,0.597,0.76,0.786,63.786,76.295,77.977,2.172,-24.015
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.123,1713,78.6,414,0.126,-33.027,0.475,0.626,0.648,30.357,45.058,46.782,1.967,-31.183
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1733355,0,35700,1769055,100,1356461,76.677,173066,100,0,0.365,0.431,0.442,0,0,0,2.859,0
