"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,244620,0,6800,251420,18.678,209766,83.4,20846,17.993,4.707,0.246,0.295,0.303,70.71,73.036,73.411,2.478,0.867
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,41265,0,1200,42465,3.155,41287,97.2,2165,3.541,12.586,0.163,0.191,0.195,12.885,12.04,11.87,3.106,26.407
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,44195,0,1200,45395,3.372,41465,91.3,6851,3.557,57.072,0.672,0.76,0.774,366.127,345.64,342.747,4.07,65.657
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,22590,0,600,23190,1.723,20499,88.4,2660,1.758,-30.225,0.227,0.27,0.276,57.382,58.102,58.098,1.75,-28.783
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,46185,0,1300,47485,3.528,47068,99.1,2865,4.037,-23.079,0.132,0.153,0.157,-8.734,-10.237,-10.232,2.163,-11.959
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,20625,0,500,21125,1.569,20462,96.9,241,1.755,27.797,0.041,0.048,0.049,-71.342,-71.823,-71.884,3.51,42.876
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,93315,0,2500,95815,7.118,86370,90.1,6060,7.408,41.034,0.253,0.29,0.295,75.394,69.74,69.012,3.606,46.785
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,61875,0,1700,63575,4.723,57031,89.7,1593,4.892,9.58,0.078,0.093,0.095,-46.011,-45.706,-45.651,2.789,13.496
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,211220,0,5800,217020,16.122,173147,79.8,4101,14.852,-1.676,0.053,0.063,0.064,-63.464,-63.194,-63.163,2.225,-9.423
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,109000,0,2900,111900,8.313,103426,92.4,4139,8.871,-22.003,0.082,0.097,0.099,-43.271,-43.168,-43.139,2.045,-16.763
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,39275,0,1000,40275,2.992,32979,81.9,638,2.829,33.451,0.06,0.07,0.072,-58.436,-58.955,-58.983,3.1,26.157
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,66805,0,1800,68605,5.097,65394,95.3,7204,5.609,-10.492,0.267,0.305,0.311,84.82,78.744,77.83,2.42,-1.487
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,11765,0,200,11965,0.889,8967,74.9,317,0.769,31.879,0.099,0.117,0.12,-31.316,-31.374,-31.405,2.803,14.084
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,171915,0,4700,176615,13.12,154778,87.6,2263,13.276,-8.171,0.033,0.04,0.041,-76.864,-76.708,-76.704,2.283,-7.083
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,45185,0,1200,46385,3.446,42261,91.1,2086,3.625,8.191,0.138,0.169,0.173,-4.323,-1.183,-0.735,2.796,13.819
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,20625,0,500,21125,1.569,16310,77.2,807,1.399,12.66,0.122,0.146,0.15,-15.399,-14.443,-14.311,2.467,0.4
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,55980,0,1400,57380,4.263,41474,72.3,3044,3.557,-8.917,0.137,0.16,0.164,-4.978,-5.99,-6.145,1.868,-23.979
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.162,1641,75.3,373,0.141,-8.503,0.443,0.564,0.583,207.057,230.508,233.661,1.949,-20.678
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.162,1500,68.8,203,0.129,-11.984,0.233,0.307,0.318,61.596,79.82,81.957,1.723,-29.886
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1310400,0,35700,1346100,100,1165825,86.608,68456,100,0,0.144,0.171,0.175,0,0,0,2.457,0
