"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,400230,0,16600,416830,18.787,363482,87.2,131693,18.282,5.318,1.556,1.865,1.914,8.105,9.579,9.816,4.294,2.489,0,0,0,0,13740,17834,0.029,0.085,85850,76050,9800,0,64182,80487,0.135,0.17,-84.3028624192059,-85.1321585903084
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,68175,0,2900,71075,3.203,72656,102.2,23488,3.654,14.325,1.767,2.074,2.121,22.765,21.846,21.661,5.465,30.44,0,0,0,0,3953,6677,0.008,0.006,14570,12870,1700,0,13736,18719,0.029,0.039,-96.398891966759,-96.8061674008811
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,69935,0,2900,72835,3.283,68626,94.2,28740,3.452,52.897,2.821,3.189,3.245,96.013,87.398,86.182,6.736,60.768,0,0,0,0,3030,3325,0.006,0.027,13400,11700,1700,0,12474,15707,0.026,0.033,-96.9529085872576,-97.136563876652
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,35460,0,1500,36960,1.666,31496,85.2,9922,1.584,-32.531,0.847,1.006,1.03,-41.153,-40.884,-40.886,2.688,-35.836,0,0,0,0,1993,2130,0.004,0.006,6750,5850,900,0,5553,6455,0.012,0.014,-98.7072945521699,-98.6784140969163
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,79530,0,3200,82730,3.729,79839,96.5,24049,4.016,-18.695,1.105,1.285,1.317,-23.206,-24.47,-24.466,3.669,-12.429,0,0,0,0,3789,4505,0.008,0.012,17110,15210,1900,0,15277,19659,0.032,0.041,-96.2142197599261,-96.4757709251101
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,33495,0,1300,34795,1.568,29864,85.8,8806,1.502,27.705,1.511,1.756,1.795,4.969,3.208,2.983,5.123,22.276,0,0,0,0,1684,1875,0.004,0.001,6650,5850,800,0,7882,8223,0.017,0.017,-98.4302862419206,-98.1277533039648
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,149475,0,6200,155675,7.016,151008,97,56665,7.595,39.02,2.366,2.708,2.761,64.401,59.102,58.419,6.305,50.488,0,0,0,0,10983,12152,0.023,0.035,31780,28080,3700,0,31645,36265,0.067,0.076,-92.9824561403509,-92.6211453744493
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,101655,0,4200,105855,4.771,102033,96.4,30345,5.132,10.694,1.484,1.764,1.809,3.093,3.675,3.779,4.989,19.067,0,0,0,0,2654,4680,0.006,0.009,21220,18720,2500,0,17859,24268,0.038,0.051,-95.2908587257618,-95.8149779735683
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,345770,0,14300,360070,16.228,308695,85.7,107877,15.527,-1.028,1.387,1.652,1.693,-3.661,-2.947,-2.865,3.968,-5.308,0,0,0,0,16153,22866,0.034,0.024,74020,65520,8500,0,72453,86123,0.153,0.181,-83.2871652816251,-83.1497797356828
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,175690,0,7000,182690,8.234,182225,99.7,75577,9.166,-22.744,1.494,1.77,1.814,3.836,4.025,4.077,3.603,-14.004,0,0,0,0,7737,9471,0.016,0.018,36860,32760,4100,0,64260,69953,0.135,0.147,-86.4265927977839,-85.1321585903084
