"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,568710,74500,36300,679510,18.76,607552,89.4,215070,19.66,5.167,2.541,3.045,3.126,0.719,2.092,2.313,7.178,10.21
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,96255,11700,6300,114255,3.154,109318,95.7,42860,3.537,12.574,3.224,3.784,3.869,27.799,26.842,26.649,8.223,26.263
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,98015,9000,6300,113315,3.128,96325,85,37645,3.117,45.709,3.695,4.177,4.251,46.471,40.034,39.125,9.455,45.175
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,49500,10300,3200,63000,1.739,52721,83.7,20549,1.706,-29.555,1.754,2.083,2.134,-30.472,-30.154,-30.156,4.5,-30.903
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,111120,19200,7000,137320,3.791,119426,87,49752,3.864,-17.333,2.286,2.659,2.724,-9.367,-10.858,-10.853,5.488,-15.728
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,47535,5100,2900,55535,1.533,48023,86.5,19810,1.554,24.853,3.398,3.951,4.038,34.714,32.454,32.166,8.239,26.499
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,211485,21100,13500,246085,6.794,218252,88.7,85608,7.062,34.612,3.575,4.09,4.172,41.694,37.127,36.538,9.113,39.928
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,143775,18000,9200,170975,4.72,143344,83.8,61612,4.638,9.518,3.012,3.582,3.673,19.413,20.087,20.208,7.009,7.616
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,489680,68600,31400,589680,16.28,490411,83.2,180096,15.869,-0.715,2.315,2.757,2.826,-8.246,-7.566,-7.488,6.303,-3.219
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,247060,44500,15700,307260,8.483,270007,87.9,98606,8.737,-20.409,1.95,2.31,2.367,-22.713,-22.572,-22.533,5.339,-18.024
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,88415,9300,5400,103115,2.847,92842,90,37889,3.004,26.975,3.561,4.158,4.256,41.158,39.394,39.301,8.726,33.981
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,153385,23800,9800,186985,5.162,163143,87.2,57862,5.279,-9.339,2.142,2.449,2.496,-15.108,-17.899,-18.319,6.038,-7.285
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,23465,2800,1400,27665,0.764,24189,87.4,9112,0.783,13.319,2.848,3.365,3.445,12.904,12.807,12.756,7.561,16.097
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,398895,59800,25400,484095,13.365,378839,78.3,168697,12.259,-6.461,2.488,2.962,3.034,-1.369,-0.707,-0.687,5.588,-14.204
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,103685,13300,6600,123585,3.412,106418,86.1,45646,3.444,7.124,3.02,3.689,3.795,19.727,23.656,24.216,7.042,8.122
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,46365,5800,2900,55065,1.52,47557,86.4,19341,1.539,9.133,2.925,3.498,3.588,15.951,17.262,17.442,7.193,10.438
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,127350,19600,7900,154850,4.275,112681,72.8,44558,3.646,-8.652,2.007,2.347,2.4,-20.457,-21.304,-21.434,5.075,-22.083
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,800,400,5520,0.152,5209,94.4,1086,0.169,-13.901,1.29,1.642,1.697,-48.875,-44.97,-44.445,6.186,-5.012
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,800,400,4350,0.12,4094,94.1,1262,0.132,-34.732,1.449,1.907,1.976,-42.55,-36.071,-35.311,4.702,-27.809
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3012165,418000,192000,3622165,100,3090351,85.318,1197061,100,0,2.523,2.983,3.055,0,0,0,6.513,0
