"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,140295,0,0,140295,18.859,69445,49.5,0,24.982,5.722,0,0,0,NA,NA,NA,0.82,40.049,0,0,0,0,0,0,0,0.085,140295,140295,0,0,0,69445,0,0.82,40.049,NA
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,23715,0,0,23715,3.188,9944,41.9,0,3.577,13.769,0,0,0,NA,NA,NA,0.748,27.686,0,0,0,0,0,0,0,0.006,23715,23715,0,0,0,9944,0,0.748,27.686,NA
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,23720,0,0,23720,3.188,17843,75.2,0,6.419,48.509,0,0,0,NA,NA,NA,1.751,198.966,0,0,0,0,0,0,0,0.027,23720,23720,0,0,0,17843,0,1.751,198.966,NA
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,12840,0,0,12840,1.726,4257,33.2,0,1.531,-30.094,0,0,0,NA,NA,NA,0.363,-37.973,0,0,0,0,0,0,0,0.006,12840,12840,0,0,0,4257,0,0.363,-37.973,NA
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,27660,0,0,27660,3.718,9572,34.6,0,3.443,-18.925,0,0,0,NA,NA,NA,0.44,-24.909,0,0,0,0,0,0,0,0.012,27660,27660,0,0,0,9572,0,0.44,-24.909,NA
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,11850,0,0,11850,1.593,2334,19.7,0,0.84,29.715,0,0,0,NA,NA,NA,0.4,-31.65,0,0,0,0,0,0,0,0.001,11850,11850,0,0,0,2334,0,0.4,-31.65,NA
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,51390,0,0,51390,6.908,28325,55.1,0,10.19,36.872,0,0,0,NA,NA,NA,1.183,101.89,0,0,0,0,0,0,0,0.035,51390,51390,0,0,0,28325,0,1.183,101.89,NA
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,35550,0,0,35550,4.779,12380,34.8,0,4.454,10.875,0,0,0,NA,NA,NA,0.605,3.328,0,0,0,0,0,0,0,0.009,35550,35550,0,0,0,12380,0,0.605,3.328,NA
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,120545,0,0,120545,16.204,38826,32.2,0,13.967,-1.178,0,0,0,NA,NA,NA,0.499,-14.817,0,0,0,0,0,0,0,0.024,120545,120545,0,0,0,38826,0,0.499,-14.817,NA
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,61225,0,0,61225,8.23,15965,26.1,0,5.743,-22.781,0,0,0,NA,NA,NA,0.316,-46.113,0,0,0,0,0,0,0,0.018,61225,61225,0,0,0,15965,0,0.316,-46.113,NA
