"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,899820,343800,111200,1354820,17.631,1163449,85.9,406759,19.412,-1.16,4.806,5.76,5.912,20.852,22.5,22.765,13.745,8.824,0,0,0,0,23553,27459,0.05,0.085,157960,79560,37900,40500,114018,162451,0.24,0.342,-80.2426343154246,-70.2970297029703
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,165285,54000,21700,240985,3.136,194938,80.9,66924,3.253,11.923,5.034,5.908,6.042,26.603,25.655,25.464,14.664,16.096,0,0,0,0,4248,6827,0.009,0.006,33050,17550,9100,6400,13696,28587,0.029,0.06,-96.5337954939341,-96.4108910891089
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,161195,41500,20700,223395,2.907,177134,79.3,68103,2.956,35.406,6.685,7.557,7.69,68.112,60.723,59.68,17.387,37.655,0,0,0,0,4692,5479,0.01,0.027,29280,16380,8000,4900,19893,31301,0.042,0.066,-96.1871750433276,-94.8019801980198
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,86940,47500,11100,145540,1.894,117035,80.4,32845,1.953,-23.289,2.804,3.33,3.411,-29.494,-29.172,-29.173,9.99,-20.908,0,0,0,0,1264,4146,0.003,0.006,20730,10530,4600,5600,6350,21600,0.013,0.046,-97.3425765453495,-98.3910891089109
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,186000,88400,22900,297300,3.869,228382,76.8,73061,3.811,-15.636,3.358,3.905,4,-15.559,-16.949,-16.945,10.496,-16.903,0,0,0,0,3727,4571,0.008,0.012,37720,18720,8600,10400,14579,34018,0.031,0.072,-95.840554592721,-96.1633663366337
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,79125,23600,9700,112425,1.463,85106,75.7,31378,1.42,19.141,5.383,6.258,6.396,35.376,33.105,32.815,14.6,15.594,0,0,0,0,3313,3533,0.007,0.001,14790,8190,3800,2800,8754,12569,0.018,0.026,-98.4979780473715,-97.7722772277228
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,364755,97300,47700,509755,6.634,389307,76.4,129760,6.496,31.439,5.418,6.2,6.323,36.259,31.867,31.301,16.256,28.699,0,0,0,0,0,0,0,0.035,71680,39780,20400,11500,19722,49315,0.042,0.104,-93.9919121894858,-94.8019801980198
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,239715,83100,31000,353815,4.604,254487,71.9,86593,4.246,6.831,4.234,5.035,5.162,6.477,7.078,7.186,12.443,-1.486,0,0,0,0,4030,9217,0.008,0.009,46770,24570,12400,9800,10577,30556,0.022,0.064,-96.3027151935297,-97.2772277227723
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,819620,316100,105400,1241120,16.151,915213,73.7,260858,15.27,-1.498,3.353,3.994,4.094,-15.684,-15.059,-14.987,11.763,-6.87,0,0,0,0,0,0,0,0.024,163440,84240,42000,37200,42245,79282,0.089,0.167,-90.3523974581167,-88.9851485148515
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,450640,205400,57800,713840,9.29,530413,74.3,176797,8.85,-12.839,3.496,4.141,4.244,-12.084,-11.924,-11.88,10.488,-16.965,0,0,0,0,22065,43644,0.047,0.018,105190,54990,26100,24100,46410,82017,0.098,0.173,-90.0057770075101,-87.8712871287129
