"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,475110,34500,36300,545910,18.729,415015,76,168087,17.885,4.996,1.986,2.38,2.443,-0.106,1.256,1.475,4.903,0.26
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,81045,5400,6300,92745,3.182,84487,91.1,32986,3.641,13.559,2.481,2.912,2.978,24.819,23.885,23.696,6.355,29.956
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,83975,4200,6300,94475,3.241,77168,81.7,32706,3.325,50.967,3.21,3.629,3.693,61.491,54.394,53.391,7.575,54.887
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,42480,4800,3200,50480,1.732,38969,77.2,15576,1.679,-29.855,1.33,1.579,1.617,-33.119,-32.813,-32.815,3.326,-31.982
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,93570,8900,7000,109470,3.756,86467,79,29967,3.726,-18.105,1.377,1.602,1.641,-30.722,-31.862,-31.858,3.974,-18.743
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,39345,2400,2900,44645,1.532,38217,85.6,16259,1.647,24.73,2.789,3.243,3.314,40.314,37.959,37.659,6.556,34.066
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,177555,9800,13500,200855,6.891,172686,86,72444,7.442,36.536,3.025,3.461,3.53,52.165,47.261,46.628,7.211,47.444
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,120375,8300,9200,137875,4.73,113637,82.4,38191,4.897,9.75,1.867,2.22,2.277,-6.066,-5.535,-5.44,5.556,13.616
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,410120,31800,31400,473320,16.239,357875,75.6,146079,15.422,-0.965,1.878,2.236,2.293,-5.554,-4.854,-4.773,4.6,-5.944
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,207280,20600,15700,243580,8.357,208242,85.5,90760,8.974,-21.591,1.795,2.126,2.178,-9.723,-9.559,-9.514,4.118,-15.801
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,74375,4300,5400,84075,2.884,73439,87.3,29776,3.165,28.656,2.799,3.268,3.345,40.778,39.019,38.926,6.902,41.14
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,128815,11000,9800,149615,5.133,117783,78.7,55082,5.076,-9.852,2.039,2.331,2.376,2.555,-0.817,-1.324,4.359,-10.857
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,19955,1300,1400,22655,0.777,19428,85.8,8129,0.837,15.319,2.541,3.002,3.073,27.823,27.713,27.656,6.073,24.181
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,333375,27700,25400,386475,13.259,308047,79.7,128570,13.275,-7.2,1.896,2.257,2.313,-4.606,-3.966,-3.946,4.544,-7.092
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,87305,6200,6600,100105,3.434,81470,81.4,29721,3.511,7.831,1.967,2.402,2.471,-1.069,2.177,2.64,5.391,10.236
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,39345,2700,2900,44945,1.542,38016,84.6,14003,1.638,10.695,2.118,2.532,2.598,6.535,7.739,7.905,5.75,17.57
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,107460,9100,7900,124460,4.27,84459,67.9,32897,3.64,-8.761,1.482,1.733,1.772,-25.474,-26.267,-26.389,3.804,-22.222
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,400,400,5120,0.176,2559,50,963,0.11,-0.758,1.144,1.456,1.505,-42.468,-38.074,-37.483,3.039,-37.855
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,400,400,3950,0.136,2543,64.4,1082,0.11,-26.349,1.243,1.635,1.694,-37.492,-30.443,-29.616,2.92,-40.282
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2528955,193800,192000,2914755,100,2320507,79.612,943278,100,0,1.988,2.351,2.408,0,0,0,4.89,0
