"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-20,"AN",8464411,17.838,7062213,17.598,568710,74500,36300,679510,8.028,NA,0,0,0,0,93600,40000,0,133600,1.578,577053,155378,421675,6.817,NA,19.316,15250,0.18,2.714,136952,1.618,5.217,26.427,366215,155378,210837,NA,NA,1.836,NA,NA,2.2,13133,2116,0.155,0.025,11017,107557,29394,1.271,0.347,1.523,0.416,78163,3.72,9.561,1.014,-8.115,8.286,NA,NA,NA
"AR",2021-02-20,"AR",1329391,2.802,1132764,2.823,96255,11700,6300,114255,8.595,NA,0,0,0,0,15210,6300,0,21510,1.618,107525,22380,85145,8.088,NA,3.599,896,0.067,0.84,18213,1.37,-0.649,3.514,64953,22380,42573,NA,NA,1.683,NA,NA,1.976,753,144,0.057,0.011,609,11740,6474,0.883,0.487,1.036,0.572,5266,1.173,1.54,0.339,-4.372,28.444,NA,NA,NA
"AS",2021-02-20,"AS",1018784,2.147,901209,2.246,98015,9000,6300,113315,11.123,NA,0,0,0,0,14040,4800,0,18840,1.849,92190,18571,73619,9.049,NA,3.086,2067,0.203,2.294,13065,1.282,11.887,2.521,55381,18571,36810,NA,NA,1.823,NA,NA,2.061,1650,418,0.162,0.041,1232,9375,3691,0.92,0.362,1.04,0.41,5684,3.071,13.899,1.149,7.11,43.735,NA,NA,NA
"IB",2021-02-20,"IB",1171543,2.469,986279,2.458,49500,10300,3200,63000,5.378,NA,0,0,0,0,7020,5500,0,12520,1.069,51521,10490,41031,4.398,NA,1.725,600,0.051,1.178,9818,0.838,-4.652,1.895,31005,10489,20516,NA,NA,0.895,NA,NA,1.063,583,17,0.05,0.001,566,6641,3176,0.567,0.271,0.673,0.322,3465,1.916,2.469,0.083,-16.771,-30.134,NA,NA,NA
"CN",2021-02-20,"CN",2175952,4.586,1871033,4.662,111120,19200,7000,137320,6.311,NA,0,0,0,0,17550,10300,0,27850,1.28,116837,18657,98180,5.369,NA,3.911,1295,0.06,1.121,15724,0.723,-3.094,3.034,67747,18657,49090,NA,NA,0.857,NA,NA,0.997,964,331,0.044,0.015,633,8277,7447,0.38,0.342,0.442,0.398,830,1.443,0.376,0.679,-6.679,-14.719,NA,NA,NA
"CB",2021-02-20,"CB",582905,1.228,501384,1.249,47535,5100,2900,55535,9.527,NA,0,0,0,0,8190,2700,0,10890,1.868,46564,7523,39041,7.988,NA,1.559,729,0.125,1.59,5928,1.017,-3.264,1.144,27044,7523,19521,NA,NA,1.291,NA,NA,1.5,585,145,0.1,0.025,440,4365,1564,0.749,0.268,0.871,0.312,2801,2.211,3.191,0.748,-17.597,26.954,NA,NA,NA
"CL",2021-02-20,"CL",2394918,5.047,2092873,5.215,211485,21100,13500,246085,10.275,NA,0,0,0,0,33930,11300,0,45230,1.889,212022,42881,169141,8.853,NA,7.097,3115,0.13,1.491,30669,1.281,1.972,5.918,127451,42880,84571,NA,NA,1.79,NA,NA,2.049,2596,519,0.108,0.022,2077,22477,8192,0.939,0.342,1.074,0.391,14285,2.079,4.754,0.617,-4.954,40.618,NA,NA,NA
"CM",2021-02-20,"CM",2045221,4.31,1719964,4.286,143775,18000,9200,170975,8.36,NA,0,0,0,0,23400,9700,0,33100,1.618,141208,20340,120868,6.904,NA,4.727,1068,0.052,0.762,20777,1.016,-7.53,4.009,80774,20340,60434,NA,NA,0.995,NA,NA,1.183,479,589,0.023,0.029,-110,4596,16181,0.225,0.791,0.267,0.941,-11585,0.597,6.537,0.984,-10.873,9.675,NA,NA,NA
"CT",2021-02-20,"CT",7780479,16.397,6531658,16.276,489680,68600,31400,589680,7.579,NA,0,0,0,0,79560,36800,0,116360,1.496,473850,118738,355112,6.09,NA,15.861,8281,0.106,1.779,88590,1.139,-0.517,17.095,296294,118738,177556,NA,NA,1.526,NA,NA,1.818,7011,1270,0.09,0.016,5741,66429,22161,0.854,0.285,1.017,0.339,44268,2.424,2.427,0.72,-8.407,-3.269,NA,NA,NA
"VC",2021-02-20,"VC",5057353,10.658,4269305,10.639,247060,44500,15700,307260,6.076,NA,0,0,0,0,39780,23900,0,63680,1.259,259670,64087,195583,5.135,NA,8.692,5168,0.102,2.031,43723,0.865,7.979,8.437,161879,64088,97791,NA,NA,1.267,NA,NA,1.501,4761,407,0.094,0.008,4354,38972,4751,0.771,0.094,0.913,0.111,34221,3.03,9.654,0.418,-4.04,-18.446,NA,NA,NA
