"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-07,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,53934,53934,0,0.637,38.443,26.014,6836,6836,0,0.081,14.514,53934,53934,0,0.637,14.514,26.014,53934,53934,0,0.637,0,0.637,0.764,0,0.764,6836,0,0.081,0,53934,0,0.637,0,0.764,0,14.514,14.514,NA,NA,45.835,5.724,45.767,NA
"AR",2021-01-07,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,6186,6186,0,0.465,26.085,2.984,1600,1600,0,0.12,34.889,6186,6186,0,0.465,34.889,2.984,6186,6186,0,0.465,0,0.465,0.546,0,0.546,1600,0,0.12,0,6186,0,0.465,0,0.546,0,34.889,34.889,NA,NA,6.495,13.776,6.407,NA
"AS",2021-01-07,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,14406,14406,0,1.414,60.734,6.949,738,738,0,0.072,5.399,14406,14406,0,1.414,5.399,6.949,14406,14406,0,1.414,0,1.414,1.599,0,1.599,738,0,0.072,0,14406,0,1.414,0,1.599,0,5.399,5.399,NA,NA,223.661,48.486,223.57,NA
"IB",2021-01-07,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,3190,3190,0,0.272,24.844,1.539,267,267,0,0.023,9.134,3190,3190,0,0.272,9.134,1.539,3190,3190,0,0.272,0,0.272,0.323,0,0.323,267,0,0.023,0,3190,0,0.272,0,0.323,0,9.134,9.134,NA,NA,-37.667,-30.093,-37.757,NA
"CN",2021-01-07,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,7330,7330,0,0.337,26.5,3.536,736,736,0,0.034,11.162,7330,7330,0,0.337,11.162,3.536,7330,7330,0,0.337,0,0.337,0.392,0,0.392,736,0,0.034,0,7330,0,0.337,0,0.392,0,11.162,11.162,NA,NA,-22.896,-18.927,-22.883,NA
"CB",2021-01-07,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,1564,1564,0,0.268,13.198,0.754,482,482,0,0.083,44.547,1564,1564,0,0.268,44.547,0.754,1564,1564,0,0.268,0,0.268,0.312,0,0.312,482,0,0.083,0,1564,0,0.268,0,0.312,0,44.547,44.547,NA,NA,-38.599,29.723,-38.673,NA
"CL",2021-01-07,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,22103,22103,0,0.923,43.01,10.661,2837,2837,0,0.118,14.725,22103,22103,0,0.923,14.725,10.661,22103,22103,0,0.923,0,0.923,1.056,0,1.056,2837,0,0.118,0,22103,0,0.923,0,1.056,0,14.725,14.725,NA,NA,111.234,36.873,111.213,NA
"CM",2021-01-07,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,7666,7666,0,0.375,21.564,3.698,1787,1787,0,0.087,30.396,7666,7666,0,0.375,30.396,3.698,7666,7666,0,0.375,0,0.375,0.446,0,0.446,1787,0,0.087,0,7666,0,0.375,0,0.446,0,30.396,30.396,NA,NA,-14.2,10.882,-14.188,NA
"CT",2021-01-07,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,24515,24515,0,0.315,20.337,11.825,6662,6662,0,0.086,37.316,24515,24515,0,0.315,37.316,11.825,24515,24515,0,0.315,0,0.315,0.375,0,0.375,6662,0,0.086,0,24515,0,0.315,0,0.375,0,37.316,37.316,NA,NA,-27.883,-1.177,-27.918,NA
"VC",2021-01-07,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,11677,11677,0,0.231,19.072,5.632,1545,1545,0,0.031,15.249,11677,11677,0,0.231,15.249,5.632,11677,11677,0,0.231,0,0.231,0.274,0,0.274,1545,0,0.031,0,11677,0,0.231,0,0.274,0,15.249,15.249,NA,NA,-47.157,-22.781,-47.14,NA
"EX",2021-01-07,"EX",1063987,2.242,911213,2.271,21725,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,3309,3309,0,0.311,15.231,1.596,751,751,0,0.071,29.359,3309,3309,0,0.311,29.359,1.596,3309,3309,0,0.311,0,0.311,0.363,0,0.363,751,0,0.071,0,3309,0,0.311,0,0.363,0,29.359,29.359,NA,NA,-28.814,30.241,-28.833,NA
"GA",2021-01-07,"GA",2701819,5.694,2362643,5.887,37555,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,20265,20265,0,0.75,53.961,9.775,4127,4127,0,0.153,25.573,20265,20265,0,0.75,25.573,9.775,20265,20265,0,0.75,0,0.75,0.858,0,0.858,4127,0,0.153,0,20265,0,0.75,0,0.858,0,25.573,25.573,NA,NA,71.672,-11.345,71.625,NA
"RI",2021-01-07,"RI",319914,0.674,270788,0.675,5915,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,858,858,0,0.268,14.505,0.414,136,136,0,0.043,18.837,858,858,0,0.268,18.837,0.414,858,858,0,0.268,0,0.268,0.317,0,0.317,136,0,0.043,0,858,0,0.268,0,0.317,0,18.837,18.837,NA,NA,-38.576,17.953,-38.673,NA
"MD",2021-01-07,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,11337,11337,0,0.167,11.476,5.468,3001,3001,0,0.044,36,11337,11337,0,0.167,36,5.468,11337,11337,0,0.167,0,0.167,0.199,0,0.199,3001,0,0.044,0,11337,0,0.167,0,0.199,0,36,36,NA,NA,-61.73,-7.055,-61.785,NA
"MC",2021-01-07,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,7287,7287,0,0.482,28.371,3.515,1169,1169,0,0.077,19.108,7287,7287,0,0.482,19.108,3.515,7287,7287,0,0.482,0,0.482,0.589,0,0.589,1169,0,0.077,0,7287,0,0.482,0,0.589,0,19.108,19.108,NA,NA,10.361,8.414,10.297,NA
"NC",2021-01-07,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,11850,0,0,11850,1.792,2960,2960,0,0.448,24.979,1.428,154,154,0,0.023,5.488,2960,2960,0,0.448,5.488,1.428,2960,2960,0,0.448,0,0.448,0.535,0,0.535,154,0,0.023,0,2960,0,0.448,0,0.535,0,5.488,5.488,NA,NA,2.513,14.358,2.517,NA
"PV",2021-01-07,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,31605,0,0,31605,1.423,7734,7734,0,0.348,24.471,3.73,1090,1090,0,0.049,16.406,7734,7734,0,0.348,16.406,3.73,7734,7734,0,0.348,0,0.348,0.407,0,0.407,1090,0,0.049,0,7734,0,0.348,0,0.407,0,16.406,16.406,NA,NA,-20.299,-9.231,-20.366,NA
"CE",2021-01-07,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,1005,0,0,1005,1.194,576,576,0,0.684,57.313,0.278,30,30,0,0.036,5.495,576,576,0,0.684,5.495,0.278,576,576,0,0.684,0,0.684,0.871,0,0.871,30,0,0.036,0,576,0,0.684,0,0.871,0,5.495,5.495,NA,NA,57.062,-23.729,56.522,NA
"ML",2021-01-07,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,1005,0,0,1005,1.154,426,426,0,0.489,42.388,0.205,42,42,0,0.048,10.938,426,426,0,0.489,10.938,0.205,426,426,0,0.489,0,0.489,0.644,0,0.644,42,0,0.048,0,426,0,0.489,0,0.644,0,10.938,10.938,NA,NA,11.413,-26.63,11.899,NA
"FFAA",2021-01-07,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-01-07,"ES",47450795,100,40129822,100,743925,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,207323,207323,0,0.437,27.869,100,33992,33992,0,0.072,19.611,207323,207323,0,0.437,19.611,100,207323,207323,0,0.437,0,0.437,0.517,0,0.517,33992,0,0.072,0,207323,0,0.437,0,0.517,0,19.611,19.611,NA,NA,0,0,0,NA
