"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-16,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.964,0,0,0,0,69225,0,6800,76025,0.898,143613,143258,355,1.697,66.389,17.687,3895,0.046,2.788,3717,178,70187,0.829,-0.122,14.287,143436,178,143258,1.695,0.002,2.031,0.003,3718,178,0.044,0.002,70010,178,0.827,0.002,0.991,0.003,2.661,-0.374,Inf,Inf,-0.847,6.312,-0.877,0
"AR",2021-01-16,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.21,0,0,0,0,11700,0,1200,12900,0.97,24124,24124,0,1.815,65.886,2.971,505,0.038,2.138,505,0,13829,1.04,1.126,2.815,24124,0,24124,1.815,0,2.13,0,505,0,0.038,0,13829,0,1.04,0,1.221,0,2.138,1.126,NA,NA,6.031,14.561,6.14,-100
"AS",2021-01-16,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.21,0,0,0,0,11700,0,1200,12900,1.266,32022,31887,135,3.143,87.444,3.944,775,0.076,2.48,708,67,13812,1.356,3.044,2.812,31955,67,31888,3.137,0.007,3.546,0.007,708,67,0.069,0.007,13745,67,1.349,0.007,1.525,0.007,2.266,2.544,Inf,Inf,83.698,49.511,83.45,250
"IB",2021-01-16,"IB",1171543,2.469,986279,2.458,14140,0,600,14740,1.258,1.292,1300,0,0,1300,1300,0,600,1900,0.162,10827,10724,103,0.924,73.453,1.333,1461,0.125,15.599,1409,52,6438,0.55,26.013,1.31,10776,52,10724,0.92,0.004,1.093,0.005,1410,52,0.12,0.004,6387,52,0.545,0.004,0.648,0.005,15.054,25.015,Inf,Inf,-46.011,-47.671,-46.199,100
"CN",2021-01-16,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.735,0,0,0,0,13650,0,1300,14950,0.687,34526,34308,218,1.587,81.028,4.252,3794,0.174,12.345,3685,109,23609,1.085,11.574,4.806,34417,109,34308,1.582,0.005,1.839,0.006,3685,109,0.169,0.005,23500,109,1.08,0.005,1.256,0.006,11.991,11.059,Inf,Inf,-7.283,-18.556,-7.485,150
"CB",2021-01-16,"CB",582905,1.228,501384,1.249,17700,0,500,18200,3.122,1.596,0,0,0,0,5850,0,500,6350,1.089,15667,15667,0,2.688,86.082,1.93,1028,0.176,7.022,1028,0,11286,1.936,-8.281,2.297,15667,0,15667,2.688,0,3.125,0,1028,0,0.176,0,11286,0,1.936,0,2.251,0,7.022,-8.281,NA,NA,57.166,29.967,57.193,-100
"CL",2021-01-16,"CL",2394918,5.047,2092873,5.215,76740,0,2500,79240,3.309,6.947,0,0,0,0,25350,0,2500,27850,1.163,61967,61884,83,2.587,78.202,7.632,2556,0.107,4.302,2515,41,31015,1.295,-0.228,6.313,61926,41,61885,2.586,0.002,2.959,0.002,2515,41,0.105,0.002,30974,41,1.293,0.002,1.48,0.002,4.233,-0.36,Inf,Inf,51.219,37.646,51.228,0
"CM",2021-01-16,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.804,0,0,0,0,17550,0,1700,19250,0.941,35313,35313,0,1.727,64.44,4.349,1504,0.074,4.449,1504,0,20657,1.01,-3.603,4.205,35313,0,35313,1.727,0,2.053,0,1504,0,0.074,0,20657,0,1.01,0,1.201,0,4.449,-3.603,NA,NA,0.905,11.462,0.994,-100
"CT",2021-01-16,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.29,0,0,0,0,59475,0,5800,65275,0.839,130076,129965,111,1.672,70.001,16.02,7499,0.096,6.118,7443,56,81390,1.046,-2.819,16.567,130020,56,129964,1.671,0.001,1.991,0.001,7443,56,0.096,0.001,81334,56,1.045,0.001,1.245,0.001,6.072,-2.886,Inf,Inf,-2.299,-0.653,-2.281,-50
"VC",2021-01-16,"VC",5057353,10.658,4269305,10.639,91450,0,2900,94350,1.866,8.271,0,0,0,0,30225,0,2900,33125,0.655,89183,89082,101,1.763,94.524,10.984,2256,0.045,2.595,2205,51,63315,1.252,-10.776,12.888,89132,51,89081,1.762,0.001,2.088,0.001,2205,51,0.044,0.001,63264,51,1.251,0.001,1.482,0.001,2.537,-10.848,Inf,Inf,3.059,-22.396,3.041,-50
"EX",2021-01-16,"EX",1063987,2.242,911213,2.271,32450,0,1000,33450,3.144,2.932,0,0,0,0,10725,0,1000,11725,1.102,24086,24086,0,2.264,72.006,2.966,1764,0.166,7.903,1764,0,17834,1.676,1.358,3.63,24086,0,24086,2.264,0,2.643,0,1764,0,0.166,0,17834,0,1.676,0,1.957,0,7.903,1.358,NA,NA,32.293,30.776,32.398,-100
"GA",2021-01-16,"GA",2701819,5.694,2362643,5.887,56080,0,1800,57880,2.142,5.074,0,0,0,0,18525,0,1800,20325,0.752,52006,51906,100,1.925,89.851,6.405,2238,0.083,4.497,2188,50,25367,0.939,1.395,5.164,51956,50,51906,1.923,0.002,2.199,0.002,2188,50,0.081,0.002,25317,50,0.937,0.002,1.072,0.002,4.396,1.195,Inf,Inf,12.487,-10.889,12.456,0
"RI",2021-01-16,"RI",319914,0.674,270788,0.675,8840,0,200,9040,2.826,0.792,0,0,0,0,2925,0,200,3125,0.977,6556,6556,0,2.049,72.522,0.807,603,0.188,10.129,603,0,4288,1.34,0.21,0.873,6556,0,6556,2.049,0,2.421,0,603,0,0.188,0,4288,0,1.34,0,1.584,0,10.129,0.21,NA,NA,19.733,17.507,19.825,-100
"MD",2021-01-16,"MD",6779888,14.288,5695623,14.193,147540,0,4700,152240,2.245,13.346,0,0,0,0,48750,0,4700,53450,0.788,86777,86460,317,1.28,57,10.688,8856,0.131,11.365,8697,159,69043,1.018,8.27,14.054,86619,159,86460,1.278,0.002,1.521,0.003,8698,159,0.128,0.002,68885,159,1.016,0.002,1.209,0.003,11.163,8.023,Inf,Inf,-25.196,-6.593,-25.263,0
"MC",2021-01-16,"MC",1511251,3.185,1237479,3.084,38360,0,1200,39560,2.618,3.468,0,0,0,0,12675,0,1200,13875,0.918,29368,29368,0,1.943,74.237,3.617,2367,0.157,8.766,2367,0,19942,1.32,10.525,4.059,29368,0,29368,1.943,0,2.373,0,2367,0,0.157,0,19942,0,1.32,0,1.612,0,8.766,10.525,NA,NA,13.564,8.885,13.626,-100
"NC",2021-01-16,"NC",661197,1.393,552935,1.378,17700,0,500,18200,2.753,1.596,0,0,0,0,5850,0,500,6350,0.96,10148,10148,0,1.535,55.758,1.25,843,0.127,9.06,843,0,5857,0.886,4.552,1.192,10148,0,10148,1.535,0,1.835,0,843,0,0.127,0,5857,0,0.886,0,1.059,0,9.06,4.552,NA,NA,-10.266,14.573,-10.234,-100
"PV",2021-01-16,"PV",2220504,4.68,1898123,4.73,47205,0,1400,48605,2.189,4.261,0,0,0,0,15600,0,1400,17000,0.766,23485,23485,0,1.058,48.318,2.892,1021,0.046,4.545,1021,0,12577,0.566,-0.601,2.56,23485,0,23485,1.058,0,1.237,0,1021,0,0.046,0,12577,0,0.566,0,0.663,0,4.545,-0.601,NA,NA,-38.205,-8.953,-38.129,-100
"CE",2021-01-16,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.106,0,0,0,0,0,0,200,200,0.238,954,935,19,1.133,79.17,0.117,13,0.015,1.382,3,10,297,0.353,-2.303,0.06,945,10,935,1.122,0.012,1.428,0.015,4,10,0.005,0.012,288,10,0.342,0.012,0.435,0.015,0.425,-5.263,Inf,Inf,-33.898,-40.113,-34.386,500
