"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-01-26,"AN",8464411,17.838,7062213,17.598,244620,0,6800,0,251420,2.97,18.678,0,0,0,0,35100,0,0,35100,0.415,251172,175216,75956,2.967,99.901,19.452,24863,0.294,10.986,12401,12462,86352,1.02,15.282,26.56,213194,37978,175216,2.519,0.449,3.019,0.538,12401,12462,0.147,0.147,50147,36205,0.592,0.428,0.71,0.513,6.176,0.451,48.84,44.919,9.048,4.709,2.398,72.031,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"AR",2021-01-26,"AR",1329391,2.802,1132764,2.823,41265,0,1200,0,42465,3.194,3.155,0,0,0,0,5850,0,0,5850,0.44,43531,37641,5890,3.275,102.51,3.371,992,0.075,2.332,269,723,15215,1.145,-12.588,4.68,40586,2945,37641,3.053,0.222,3.583,0.26,269,723,0.02,0.054,12520,2695,0.942,0.203,1.105,0.238,0.667,-17.545,32.538,21.287,20.307,12.598,24.106,-14.943,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"AS",2021-01-26,"AS",1018784,2.147,901209,2.246,44195,0,1200,0,45395,4.456,3.372,0,0,0,0,8775,0,0,8775,0.861,44087,22699,21388,4.327,97.119,3.414,161,0.016,0.367,-1503,1664,9794,0.961,-5.409,3.012,33393,10694,22699,3.278,1.05,3.705,1.187,-1503,1664,-0.148,0.163,385,9409,0.038,0.924,0.043,1.044,-4.307,-74.771,18.427,6.581,59.013,57.056,33.252,302.299,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"IB",2021-01-26,"IB",1171543,2.469,986279,2.458,22590,0,600,0,23190,1.979,1.723,0,0,0,0,5850,0,0,5850,0.499,22372,16614,5758,1.91,96.473,1.733,289,0.025,1.309,123,166,7714,0.658,-7.428,2.373,19493,2879,16614,1.664,0.246,1.976,0.292,123,166,0.01,0.014,4999,2715,0.427,0.232,0.507,0.275,0.635,-13.437,6.119,6.138,-29.81,-30.215,-32.358,-5.747,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"CN",2021-01-26,"CN",2175952,4.586,1871033,4.662,46185,0,1300,0,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,52768,42470,10298,2.425,111.126,4.087,2658,0.122,5.304,1502,1156,9559,0.439,19.532,2.94,47619,5149,42470,2.188,0.237,2.545,0.275,1502,1156,0.069,0.053,4749,4810,0.218,0.221,0.254,0.257,3.257,9.651,28.951,31.206,-10.881,-23.07,-11.057,-9.195,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"CB",2021-01-26,"CB",582905,1.228,501384,1.249,20625,0,500,0,21125,3.624,1.569,0,0,0,0,2925,0,0,2925,0.502,20743,20143,600,3.559,98.192,1.606,280,0.048,1.368,221,59,1776,0.305,-35.159,0.546,20443,300,20143,3.507,0.051,4.077,0.06,221,59,0.038,0.01,1476,300,0.253,0.051,0.294,0.06,1.093,-40.913,24.481,24.481,30.782,27.769,42.561,-80.46,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"CL",2021-01-26,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,99536,73046,26490,4.156,103.884,7.709,5479,0.229,5.825,1827,3652,28651,1.196,6.201,8.812,86291,13245,73046,3.603,0.553,4.123,0.633,1827,3652,0.076,0.152,15838,12813,0.661,0.535,0.757,0.612,2.163,-9.544,38.069,35.315,52.744,41.034,46.463,111.877,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"CM",2021-01-26,"CM",2045221,4.31,1719964,4.286,61875,0,1700,0,63575,3.108,4.723,0,0,0,0,8775,0,0,8775,0.429,64349,57103,7246,3.146,101.217,4.984,2961,0.145,4.823,1346,1615,20667,1.011,-10.404,6.357,60726,3623,57103,2.969,0.177,3.531,0.211,1346,1615,0.066,0.079,17233,3434,0.843,0.168,1.002,0.2,2.267,-18.168,80.428,71.016,15.638,9.582,20.691,-32.184,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"CT",2021-01-26,"CT",7780479,16.397,6531658,16.276,211220,0,5800,0,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,182713,163473,19240,2.348,84.192,14.15,-2065,-0.027,-1.118,-4213,2148,26086,0.335,-34.3,8.024,173093,9620,163473,2.225,0.124,2.65,0.147,-4213,2148,-0.054,0.028,16898,9188,0.217,0.118,0.259,0.141,-2.376,-47.846,28.747,25.777,-13.704,-1.677,-9.553,-52.49,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
"VC",2021-01-26,"VC",5057353,10.658,4269305,10.639,109000,0,2900,0,111900,2.213,8.313,0,0,0,0,17550,0,0,17550,0.347,105490,94704,10786,2.086,94.272,8.17,1041,0.021,0.997,180,861,10230,0.202,-4.873,3.147,100097,5393,94704,1.979,0.107,2.345,0.126,180,861,0.004,0.017,5425,4805,0.107,0.095,0.127,0.113,0.18,-14.889,18.998,9.703,-23.344,-22.002,-19.553,-59.004,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
