"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-16,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,545910,6.449,18.729,0,0,0,0,74880,0,19700,94580,1.117,468983,80029,388954,5.541,85.908,17.869,11965,0.141,2.618,8355,3610,78906,0.932,1.064,17.256,274506,194477,80029,3.243,2.298,3.887,2.754,8355,3610,0.099,0.043,36006,42900,0.425,0.507,0.51,0.607,3.139,17.055,1.891,-9.331,0.174,4.995,0.746,-0.606,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"AR",2021-02-16,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,92745,6.977,3.182,0,0,0,0,12870,0,3400,16270,1.224,93512,18256,75256,7.034,100.827,3.563,2169,0.163,2.375,1520,649,17926,1.348,7.386,3.92,55884,37628,18256,4.204,2.83,4.933,3.322,1520,649,0.114,0.049,5520,12406,0.415,0.933,0.487,1.095,2.796,34.831,1.755,-1.532,27.159,13.562,30.6,22.405,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"AS",2021-02-16,"AS",1018784,2.147,901209,2.246,83975,4200,6300,94475,9.273,3.241,0,0,0,0,14040,0,3400,17440,1.712,81941,13661,68280,8.043,86.733,3.122,1457,0.143,1.81,783,674,9154,0.899,5.218,2.002,47801,34140,13661,4.692,3.351,5.304,3.788,783,674,0.077,0.066,6958,2196,0.683,0.216,0.772,0.244,1.665,3.835,2.014,9.855,45.412,50.955,45.76,44.939,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"IB",2021-02-16,"IB",1171543,2.469,986279,2.458,42480,4800,3200,50480,4.309,1.732,0,0,0,0,7020,0,1700,8720,0.744,44573,6523,38050,3.805,88.298,1.698,711,0.061,1.621,339,372,7918,0.676,-3.191,1.732,25548,19025,6523,2.181,1.624,2.59,1.929,339,372,0.029,0.032,2965,4953,0.253,0.423,0.301,0.502,1.345,0.304,1.994,-5.169,-31.227,-29.85,-32.246,-29.758,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CN",2021-02-16,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,109470,5.031,3.756,0,0,0,0,14040,0,3800,17840,0.82,106747,18507,88240,4.906,97.513,4.067,2041,0.094,1.949,1292,749,21497,0.988,5.502,4.701,62627,44120,18507,2.878,2.028,3.347,2.358,1292,749,0.059,0.034,6424,15073,0.295,0.693,0.343,0.806,2.106,24.424,1.727,-0.92,-11.317,-18.099,-10.593,-12.284,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CB",2021-02-16,"CB",582905,1.228,501384,1.249,39345,2400,2900,44645,7.659,1.532,0,0,0,0,5850,0,1600,7450,1.278,43214,5214,38000,7.414,96.795,1.647,720,0.124,1.694,636,84,7867,1.35,-4.976,1.72,24214,19000,5214,4.154,3.26,4.829,3.79,636,84,0.109,0.014,2337,5530,0.401,0.949,0.466,1.103,2.697,30.559,0.444,-14.779,34.121,24.756,29.046,41.003,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CL",2021-02-16,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,200855,8.387,6.891,0,0,0,0,28080,0,7300,35380,1.477,190381,30199,160182,7.949,94.785,7.254,3983,0.166,2.137,2163,1820,28600,1.194,12.696,6.254,110290,80091,30199,4.605,3.344,5.27,3.827,2163,1820,0.09,0.076,13077,15523,0.546,0.648,0.625,0.742,2,30.314,2.325,1.173,43.729,36.537,43.057,44.637,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CM",2021-02-16,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,137875,6.741,4.73,0,0,0,0,18720,0,5000,23720,1.16,129772,24120,105652,6.345,94.123,4.945,3821,0.187,3.034,373,3448,23126,1.131,10.318,5.057,76946,52826,24120,3.762,2.583,4.474,3.071,373,3448,0.018,0.169,3507,19619,0.171,0.959,0.204,1.141,0.487,-5.574,6.983,13.74,14.733,9.745,16.869,11.721,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CT",2021-02-16,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,473320,6.083,16.239,0,0,0,0,64350,0,17100,81450,1.047,416165,83957,332208,5.349,87.925,15.857,13423,0.173,3.333,9322,4101,87376,1.123,2.17,19.108,250061,166104,83957,3.214,2.135,3.828,2.543,9322,4101,0.12,0.053,50923,36453,0.654,0.469,0.78,0.558,3.872,15.057,2.531,-11.653,-3.293,-0.964,-0.155,-7.656,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"VC",2021-02-16,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,243580,4.816,8.357,0,0,0,0,31590,0,8700,40290,0.797,224560,33442,191118,4.44,92.191,8.556,4738,0.094,2.155,3434,1304,28071,0.555,-2.936,6.139,129001,95559,33442,2.551,1.89,3.022,2.238,3434,1304,0.068,0.026,19865,8206,0.393,0.162,0.465,0.192,2.735,11.376,1.383,-25.965,-19.722,-21.589,-20.752,-18.253,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"EX",2021-02-16,"EX",1063987,2.242,911213,2.271,74375,4300,5400,84075,7.902,2.884,0,0,0,0,11700,0,2900,14600,1.372,80044,15338,64706,7.523,95.205,3.05,2006,0.189,2.571,769,1237,10773,1.013,7.386,2.356,47691,32353,15338,4.482,3.041,5.234,3.551,769,1237,0.072,0.116,5810,4963,0.546,0.466,0.638,0.545,1.639,5.235,3.975,10.02,36.039,28.635,39.236,31.531,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"GA",2021-02-16,"GA",2701819,5.694,2362643,5.887,128815,11000,9800,149615,5.538,5.133,0,0,0,0,19890,0,5300,25190,0.932,137656,22890,114766,5.095,92.007,5.245,3138,0.116,2.333,1098,2040,23545,0.871,0.098,5.149,80273,57383,22890,2.971,2.124,3.398,2.429,1098,2040,0.041,0.076,20666,2879,0.765,0.107,0.875,0.122,1.387,5.423,3.686,-26.537,-7.885,-9.852,-7.704,-8.131,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"RI",2021-02-16,"RI",319914,0.674,270788,0.675,19955,1300,1400,22655,7.082,0.777,0,0,0,0,2340,0,800,3140,0.982,21676,4630,17046,6.776,95.679,0.826,581,0.182,2.754,507,74,3352,1.048,1.823,0.733,13153,8523,4630,4.111,2.664,4.857,3.147,507,74,0.158,0.023,2606,746,0.815,0.233,0.962,0.275,4.009,8.403,0.876,-15.991,22.552,15.282,27.71,15.225,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"MD",2021-02-16,"MD",6779888,14.288,5695623,14.193,333375,27700,25400,386475,5.7,13.259,0,0,0,0,52650,0,13800,66450,0.98,346408,33044,313364,5.109,89.633,13.199,8075,0.119,2.387,4089,3986,63718,0.94,-10.886,13.934,189726,156682,33044,2.798,2.311,3.331,2.751,4089,3986,0.06,0.059,9240,54478,0.136,0.804,0.162,0.956,2.203,69.51,2.61,-17.521,-7.622,-7.202,-13.079,-0.043,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"MC",2021-02-16,"MC",1511251,3.185,1237479,3.084,87305,6200,6600,100105,6.624,3.434,0,0,0,0,14040,0,3600,17640,1.167,92527,14587,77940,6.123,92.43,3.525,2149,0.142,2.378,632,1517,14925,0.988,2.324,3.264,53557,38970,14587,3.544,2.579,4.328,3.149,632,1517,0.042,0.1,1899,13026,0.126,0.862,0.153,1.053,1.194,31.419,4.05,-0.875,10.675,7.818,10.096,11.548,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"NC",2021-02-16,"NC",661197,1.393,552935,1.378,39345,2700,2900,44945,6.798,1.542,0,0,0,0,5850,0,1600,7450,1.127,41235,9111,32124,6.236,91.745,1.571,940,0.142,2.333,222,718,5650,0.855,-6.177,1.236,25173,16062,9111,3.807,2.429,4.553,2.905,222,718,0.034,0.109,2097,3553,0.317,0.537,0.379,0.643,0.89,-0.945,4.679,-9.014,12.778,10.696,18.267,5.061,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"PV",2021-02-16,"PV",2220504,4.68,1898123,4.73,107460,9100,7900,124460,5.605,4.27,0,0,0,0,16380,0,4300,20680,0.931,98289,14773,83516,4.426,78.972,3.745,502,0.023,0.513,227,275,22655,1.02,-8.679,4.954,56531,41758,14773,2.546,1.881,2.978,2.2,227,275,0.01,0.012,7196,15459,0.324,0.696,0.379,0.814,0.403,-1.788,0.663,-11.567,-19.979,-8.761,-20.907,-18.642,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"CE",2021-02-16,"CE",84202,0.177,66158,0.165,4320,400,400,5120,6.081,0.176,0,0,0,0,2340,0,200,2540,3.017,3759,1821,1938,4.464,73.418,0.143,237,0.281,6.729,232,5,1541,1.83,18.175,0.337,2790,969,1821,3.313,1.151,4.217,1.465,232,5,0.276,0.006,1536,5,1.824,0.006,2.322,0.008,9.07,17.791,0.519,Inf,-19.209,-0.565,2.92,-50.216,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"ML",2021-02-16,"ML",87076,0.184,66178,0.165,3150,400,400,3950,4.536,0.136,0,0,0,0,1170,0,200,1370,1.573,3070,566,2504,3.526,77.722,0.117,248,0.285,8.788,80,168,671,0.771,58.255,0.147,1818,1252,566,2.088,1.438,2.747,1.892,80,168,0.092,0.193,499,172,0.573,0.198,0.754,0.26,4.603,21.411,15.498,1223.077,-36.413,-26.087,-35.135,-37.803,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
"FFAA",2021-02-16,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-08,2023-04-06,2024-03-05,2022-02-07,2022-10-22,2023-07-06,2021-12-09,2022-07-15,2023-02-18
