"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-23,"AN",8464411,17.838,7062213,17.598,568710,74500,36300,679510,8.028,18.76,0,0,0,0,93600,40000,0,133600,1.578,626659,193425,433234,7.403,92.222,19.798,19107,0.226,3.145,17560,1547,157676,1.863,4.744,29.163,410042,216617,193425,4.844,2.559,5.806,3.067,17560,1547,0.207,0.018,135536,22140,1.601,0.262,1.919,0.313,4.474,7.286,0.719,-8.524,10.988,5.169,17.459,0.511
"AR",2021-02-23,"AR",1329391,2.802,1132764,2.823,96255,11700,6300,114255,8.595,3.154,0,0,0,0,15210,6300,0,21510,1.618,111067,23657,87410,8.355,97.21,3.509,1749,0.132,1.6,904,845,17555,1.321,-2.337,3.247,67362,43705,23657,5.067,3.288,5.947,3.858,904,845,0.068,0.064,11478,6077,0.863,0.457,1.013,0.536,1.36,-5.093,1.972,3.333,25.232,12.562,22.866,29.144
"AS",2021-02-23,"AS",1018784,2.147,901209,2.246,98015,9000,6300,113315,11.123,3.128,0,0,0,0,14040,4800,0,18840,1.849,99545,23647,75898,9.771,87.848,3.145,3220,0.316,3.343,2916,304,17604,1.728,11.129,3.256,61596,37949,23647,6.046,3.725,6.835,4.211,2916,304,0.286,0.03,13795,3809,1.354,0.374,1.531,0.423,4.969,18.29,0.808,-8.854,46.483,45.692,46.605,46.308
"IB",2021-02-23,"IB",1171543,2.469,986279,2.458,49500,10300,3200,63000,5.378,1.739,0,0,0,0,7020,5500,0,12520,1.069,52801,11681,41120,4.507,83.811,1.668,80,0.007,0.152,69,11,8228,0.702,-7.123,1.522,32241,20560,11681,2.752,1.755,3.269,2.085,69,11,0.006,0.001,6693,1535,0.571,0.131,0.679,0.156,0.214,-3.878,0.054,-19.04,-32.442,-29.567,-33.269,-31.068
"CN",2021-02-23,"CN",2175952,4.586,1871033,4.662,111120,19200,7000,137320,6.311,3.791,0,0,0,0,17550,10300,0,27850,1.28,122304,22452,99852,5.621,89.065,3.864,2878,0.132,2.41,2704,174,15557,0.715,5.686,2.877,72378,49926,22452,3.326,2.294,3.868,2.668,2704,174,0.124,0.008,9751,5806,0.448,0.267,0.521,0.31,3.881,16.932,0.35,-9.011,-15.744,-17.335,-19.35,-9.898
"CB",2021-02-23,"CB",582905,1.228,501384,1.249,47535,5100,2900,55535,9.527,1.533,0,0,0,0,8190,2700,0,10890,1.868,48935,9227,39708,8.395,88.116,1.546,912,0.156,1.899,868,44,5721,0.981,3.473,1.058,29081,19854,9227,4.989,3.406,5.8,3.96,868,44,0.149,0.008,4867,854,0.835,0.147,0.971,0.17,3.077,5.005,0.222,-4.474,25.896,24.837,20.975,33.778
"CL",2021-02-23,"CL",2394918,5.047,2092873,5.215,211485,21100,13500,246085,10.275,6.794,0,0,0,0,33930,11300,0,45230,1.889,223034,50130,172904,9.313,90.633,7.046,4782,0.2,2.191,3938,844,32653,1.363,2.508,6.039,136582,86452,50130,5.703,3.61,6.526,4.131,3938,844,0.164,0.035,26292,6361,1.098,0.266,1.256,0.304,2.969,7.24,0.986,-13.302,39.608,34.615,38.288,41.791
"CM",2021-02-23,"CM",2045221,4.31,1719964,4.286,143775,18000,9200,170975,8.36,4.72,0,0,0,0,23400,9700,0,33100,1.618,146212,19802,126410,7.149,85.517,4.619,2868,0.14,2.001,1275,1593,16440,0.804,-5.479,3.041,83007,63205,19802,4.059,3.09,4.826,3.675,1275,1593,0.062,0.078,6061,10379,0.296,0.507,0.352,0.603,1.56,17.484,2.586,-15.163,7.169,9.513,-1.576,21.367
"CT",2021-02-23,"CT",7780479,16.397,6531658,16.276,489680,68600,31400,589680,7.579,16.28,0,0,0,0,79560,36800,0,116360,1.496,504270,140600,363670,6.481,85.516,15.932,13859,0.178,2.826,12120,1739,88105,1.132,0.497,16.295,322435,181835,140600,4.144,2.337,4.936,2.784,12120,1739,0.156,0.022,72374,15731,0.93,0.202,1.108,0.241,3.906,4.022,0.966,-13.055,-2.836,-0.714,0.485,-8.209
"VC",2021-02-23,"VC",5057353,10.658,4269305,10.639,247060,44500,15700,307260,6.076,8.483,0,0,0,0,39780,23900,0,63680,1.259,273978,75888,198090,5.417,89.168,8.656,3971,0.079,1.471,3532,439,49418,0.977,-1.528,9.14,174933,99045,75888,3.459,1.958,4.097,2.32,3532,439,0.07,0.009,45932,3486,0.908,0.069,1.076,0.082,2.061,0.214,0.445,-19.88,-18.784,-20.407,-16.125,-23.095
