"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-14,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.985,0,0,6800,6800,69225,0,6800,76025,0.898,123459,123459,0,1.459,57.072,18.258,13628,13628,0,0.161,12.408,69525,69525,0,0.821,10.827,14.828,123459,123459,0,1.459,0,1.459,1.748,0,1.748,13628,0,0.161,0,69525,0,0.821,0,0.984,0,12.408,10.827,NA,NA,2.355,6.43,2.386,NA
"AR",2021-01-14,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.214,0,0,1200,1200,11700,0,1200,12900,0.97,20854,20854,0,1.569,56.955,3.084,3811,3811,0,0.287,22.361,14668,14668,0,1.103,17.749,3.128,20854,20854,0,1.569,0,1.569,1.841,0,1.841,3811,0,0.287,0,14668,0,1.103,0,1.295,0,22.361,17.749,NA,NA,10.064,14.704,10.105,NA
"AS",2021-01-14,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.214,0,0,1200,1200,11700,0,1200,12900,1.266,29074,29074,0,2.854,79.394,4.3,3796,3796,0,0.373,15.017,14668,14668,0,1.44,26.339,3.128,29074,29074,0,2.854,0,2.854,3.226,0,3.226,3796,0,0.373,0,14668,0,1.44,0,1.628,0,15.017,26.339,NA,NA,100.279,49.697,100.281,NA
"IB",2021-01-14,"IB",1171543,2.469,986279,2.458,12840,0,600,13440,1.147,1.18,0,0,600,600,0,0,600,600,0.051,7552,7552,0,0.645,56.19,1.117,2621,2621,0,0.224,53.154,4362,4362,0,0.372,117.231,0.93,7552,7552,0,0.645,0,0.645,0.766,0,0.766,2621,0,0.224,0,4362,0,0.372,0,0.442,0,53.154,117.231,NA,NA,-54.759,-52.207,-54.737,NA
"CN",2021-01-14,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.74,0,0,1300,1300,13650,0,1300,14950,0.687,25159,25159,0,1.156,59.045,3.721,2869,2869,0,0.132,12.871,17829,17829,0,0.819,13.589,3.803,25159,25159,0,1.156,0,1.156,1.345,0,1.345,2869,0,0.132,0,17829,0,0.819,0,0.953,0,12.871,13.589,NA,NA,-18.862,-18.447,-18.877,NA
"CB",2021-01-14,"CB",582905,1.228,501384,1.249,17700,0,500,18200,3.122,1.597,0,0,500,500,5850,0,500,6350,1.089,12779,12779,0,2.192,70.214,1.89,1477,1477,0,0.253,13.068,11215,11215,0,1.924,9.736,2.392,12779,12779,0,2.192,0,2.192,2.549,0,2.549,1477,0,0.253,0,11215,0,1.924,0,2.237,0,13.068,9.736,NA,NA,53.909,30.049,53.825,NA
"CL",2021-01-14,"CL",2394918,5.047,2092873,5.215,76740,0,2500,79240,3.309,6.955,0,0,2500,2500,25350,0,2500,27850,1.163,57969,57969,0,2.421,73.156,8.573,9726,9726,0,0.406,20.16,35866,35866,0,1.498,23.774,7.65,57969,57969,0,2.421,0,2.421,2.77,0,2.77,9726,0,0.406,0,35866,0,1.498,0,1.714,0,20.16,23.774,NA,NA,69.863,37.805,69.895,NA
"CM",2021-01-14,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.81,0,0,1700,1700,17550,0,1700,19250,0.941,30613,30613,0,1.497,55.863,4.527,3734,3734,0,0.183,13.892,22947,22947,0,1.122,9.271,4.894,30613,30613,0,1.497,0,1.497,1.78,0,1.78,3734,0,0.183,0,22947,0,1.122,0,1.334,0,13.892,9.271,NA,NA,5.035,11.601,5.053,NA
"CT",2021-01-14,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.309,0,0,5800,5800,59475,0,5800,65275,0.839,105587,105587,0,1.357,56.822,15.615,13454,13454,0,0.173,14.603,81072,81072,0,1.042,9.144,17.291,105587,105587,0,1.357,0,1.357,1.617,0,1.617,13454,0,0.173,0,81072,0,1.042,0,1.241,0,14.603,9.144,NA,NA,-4.769,-0.537,-4.772,NA
"VC",2021-01-14,"VC",5057353,10.658,4269305,10.639,91450,0,2900,94350,1.866,8.281,0,0,2900,2900,30225,0,2900,33125,0.655,80429,80429,0,1.59,85.245,11.895,9559,9559,0,0.189,13.488,68752,68752,0,1.359,13.194,14.664,80429,80429,0,1.59,0,1.59,1.884,0,1.884,9559,0,0.189,0,68752,0,1.359,0,1.61,0,13.488,13.194,NA,NA,11.606,-22.302,11.579,NA
