"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-11,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,81387,81387,0,0.962,58.011,20.042,3981,0.047,5.143,81387,0.962,5.143,20.042,81387,81387,0,0.962,0,0.962,1.152,0,1.152,3981,0,0.047,0,3981,81387,0,0.962,0,1.152,0,81387,5.143,5.143,NA,NA,12.356,5.724,12.383,NA
"AR",2021-01-11,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,10998,10998,0,0.827,46.376,2.708,351,0.026,3.297,10998,0.827,3.297,2.708,10998,10998,0,0.827,0,0.827,0.971,0,0.971,351,0,0.026,0,351,10998,0,0.827,0,0.971,0,10998,3.297,3.297,NA,NA,-3.355,13.776,-3.388,NA
"AS",2021-01-11,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,18943,18943,0,1.859,79.861,4.665,367,0.036,1.976,18943,1.859,1.976,4.665,18943,18943,0,1.859,0,1.859,2.102,0,2.102,367,0,0.036,0,367,18943,0,1.859,0,2.102,0,18943,1.976,1.976,NA,NA,117.28,48.486,117.173,NA
"IB",2021-01-11,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4652,4652,0,0.397,36.231,1.146,132,0.011,2.92,4652,0.397,2.92,1.146,4652,4652,0,0.397,0,0.397,0.472,0,0.472,132,0,0.011,0,132,4652,0,0.397,0,0.472,0,4652,2.92,2.92,NA,NA,-53.584,-30.093,-53.621,NA
"CN",2021-01-11,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,13607,13607,0,0.625,49.194,3.351,1345,0.062,10.969,13607,0.625,10.969,3.351,13607,13607,0,0.625,0,0.625,0.727,0,0.727,1345,0,0.062,0,1345,13607,0,0.625,0,0.727,0,13607,10.969,10.969,NA,NA,-26.93,-18.927,-26.986,NA
"CB",2021-01-11,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,8474,8474,0,1.454,71.511,2.087,2047,0.351,31.85,8474,1.454,31.85,2.087,8474,8474,0,1.454,0,1.454,1.69,0,1.69,2047,0,0.351,0,2047,8474,0,1.454,0,1.69,0,8474,31.85,31.85,NA,NA,69.951,29.723,69.86,NA
"CL",2021-01-11,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,36205,36205,0,1.512,70.451,8.915,2627,0.11,7.824,36205,1.512,7.824,8.915,36205,36205,0,1.512,0,1.512,1.73,0,1.73,2627,0,0.11,0,2627,36205,0,1.512,0,1.73,0,36205,7.824,7.824,NA,NA,76.64,36.873,76.636,NA
"CM",2021-01-11,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,19209,19209,0,0.939,54.034,4.73,2276,0.111,13.441,19209,0.939,13.441,4.73,19209,19209,0,0.939,0,0.939,1.117,0,1.117,2276,0,0.111,0,2276,19209,0,0.939,0,1.117,0,19209,13.441,13.441,NA,NA,9.745,10.882,9.696,NA
"CT",2021-01-11,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,68405,68405,0,0.879,56.746,16.845,9860,0.127,16.842,68405,0.879,16.842,16.845,68405,68405,0,0.879,0,0.879,1.047,0,1.047,9860,0,0.127,0,9860,68405,0,0.879,0,1.047,0,68405,16.842,16.842,NA,NA,2.732,-1.177,2.687,NA
"VC",2021-01-11,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,45674,45674,0,0.903,74.6,11.247,9903,0.196,27.684,45674,0.903,27.684,11.247,45674,45674,0,0.903,0,0.903,1.07,0,1.07,9903,0,0.196,0,9903,45674,0,0.903,0,1.07,0,45674,27.684,27.684,NA,NA,5.526,-22.781,5.491,NA
"EX",2021-01-11,"EX",1063987,2.242,911213,2.271,21725,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,9303,9303,0,0.874,42.822,2.291,1525,0.143,19.607,9303,0.874,19.607,2.291,9303,9303,0,0.874,0,0.874,1.021,0,1.021,1525,0,0.143,0,1525,9303,0,0.874,0,1.021,0,9303,19.607,19.607,NA,NA,2.186,30.241,2.103,NA
"GA",2021-01-11,"GA",2701819,5.694,2362643,5.887,37555,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,30418,30418,0,1.126,80.996,7.49,1889,0.07,6.621,30418,1.126,6.621,7.49,30418,30418,0,1.126,0,1.126,1.287,0,1.287,1889,0,0.07,0,1889,30418,0,1.126,0,1.287,0,30418,6.621,6.621,NA,NA,31.542,-11.345,31.542,NA
"RI",2021-01-11,"RI",319914,0.674,270788,0.675,5915,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,3457,3457,0,1.081,58.445,0.851,594,0.186,20.747,3457,1.081,20.747,0.851,3457,3457,0,1.081,0,1.081,1.277,0,1.277,594,0,0.186,0,594,3457,0,1.081,0,1.277,0,3457,20.747,20.747,NA,NA,26.261,17.953,26.285,NA
"MD",2021-01-11,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,24897,24897,0,0.367,25.202,6.131,3582,0.053,16.805,24897,0.367,16.805,6.131,24897,24897,0,0.367,0,0.367,0.437,0,0.437,3582,0,0.053,0,3582,24897,0,0.367,0,0.437,0,24897,16.805,16.805,NA,NA,-57.09,-7.055,-57.126,NA
"MC",2021-01-11,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,10361,10361,0,0.686,40.339,2.551,468,0.031,4.731,10361,0.686,4.731,2.551,10361,10361,0,0.686,0,0.686,0.837,0,0.837,468,0,0.031,0,468,10361,0,0.686,0,0.837,0,10361,4.731,4.731,NA,NA,-19.906,8.414,-19.86,NA
