"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-27,"AN",8464411,17.838,7062213,17.598,324180,0,6800,330980,3.91,18.709,79560,0,0,79560,79560,0,0,79560,0.94,257976,207025,101902,3.048,77.943,19.018,6804,-6169,25946,0.08,2.709,83697,37314,92766,0.989,-3.075,25.323,207025,156074,50951,2.446,0.602,1.844,2.931,0.721,2.21,-6169,12973,-0.073,0.153,37314,46383,0.441,0.548,0.528,0.657,-2.894,-25.591,34.159,28.112,6.615,4.883,-1.925,64.932
"AR",2021-01-27,"AR",1329391,2.802,1132764,2.823,55305,0,1200,56505,4.25,3.194,14040,0,0,14040,14040,0,0,14040,1.056,47835,41975,11720,3.598,84.656,3.526,4304,1389,5830,0.324,9.887,14101,8864,10474,1.061,-7.322,4.266,41975,36115,5860,3.157,0.441,2.717,3.706,0.517,3.188,1389,2915,0.104,0.219,8864,5237,0.667,0.394,0.783,0.462,3.422,-29.201,98.981,94.323,25.839,13.99,26.584,20.822
"AS",2021-01-27,"AS",1018784,2.147,901209,2.246,58235,0,1200,59435,5.834,3.36,14040,0,0,14040,14040,0,0,14040,1.378,49077,35350,27454,4.817,82.573,3.618,4990,1957,6066,0.49,11.319,13023,983,24080,1.278,32.969,3.94,35350,21623,13727,3.47,1.347,2.122,3.923,1.523,2.399,1957,3033,0.192,0.298,983,12040,0.096,1.182,0.109,1.336,5.861,155.325,28.362,27.963,68.514,56.497,39.134,269.041
"IB",2021-01-27,"IB",1171543,2.469,986279,2.458,29610,0,600,30210,2.579,1.708,7020,0,0,7020,7020,0,0,7020,0.599,23603,20489,6228,2.015,78.13,1.74,1231,996,470,0.105,5.502,7906,4959,5894,0.675,2.489,2.392,20489,17375,3114,1.749,0.266,1.483,2.077,0.316,1.762,996,235,0.085,0.02,4959,2947,0.423,0.252,0.503,0.299,5.11,-0.8,8.163,8.545,-29.526,-30.822,-29.872,-27.123
"CN",2021-01-27,"CN",2175952,4.586,1871033,4.662,64320,0,1300,65620,3.016,3.709,18135,0,0,18135,18135,0,0,18135,0.833,54653,48219,12868,2.512,83.287,4.029,1885,600,2570,0.087,3.572,11054,4959,12190,0.508,15.64,3.344,48219,41785,6434,2.216,0.296,1.92,2.577,0.344,2.233,600,1285,0.028,0.059,4959,6095,0.228,0.28,0.265,0.326,1.26,4.422,24.956,26.715,-12.146,-19.123,-11.147,-18.904
"CB",2021-01-27,"CB",582905,1.228,501384,1.249,27645,0,500,28145,4.828,1.591,7020,0,0,7020,7020,0,0,7020,1.204,20910,20610,600,3.587,74.294,1.542,167,167,0,0.029,0.805,1437,1137,600,0.247,-19.088,0.435,20610,20310,300,3.536,0.051,3.484,4.111,0.06,4.051,167,0,0.029,0,1137,300,0.195,0.051,0.227,0.06,0.817,-22.967,0,0,25.57,29.56,41.78,-86.027
"CL",2021-01-27,"CL",2394918,5.047,2092873,5.215,121395,0,2500,123895,5.173,7.003,28080,0,0,28080,28080,0,0,28080,1.172,104197,85441,37512,4.351,84.101,7.682,4661,-850,11022,0.195,4.683,29847,11724,36246,1.246,4.174,9.03,85441,66685,18756,3.568,0.783,2.784,4.082,0.896,3.186,-850,5511,-0.035,0.23,11724,18123,0.49,0.757,0.56,0.866,-0.985,-25.976,41.608,41.442,52.209,38.756,43.063,114.521
"CM",2021-01-27,"CM",2045221,4.31,1719964,4.286,82935,0,1700,84635,4.138,4.784,21060,0,0,21060,21060,0,0,21060,1.03,68522,61540,13964,3.35,80.962,5.052,4173,814,6718,0.204,6.485,19767,12980,13574,0.966,-4.355,5.981,61540,54558,6982,3.009,0.341,2.668,3.578,0.406,3.172,814,3359,0.04,0.164,12980,6787,0.635,0.332,0.755,0.395,1.34,-24.679,92.713,97.641,17.216,10.998,20.65,-6.575
"CT",2021-01-27,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,16.17,69030,0,0,69030,69030,0,0,69030,0.887,201650,183224,36852,2.592,70.495,14.866,18937,10131,17612,0.243,10.364,38820,21307,35026,0.499,48.815,11.745,183224,164798,18426,2.355,0.237,2.118,2.805,0.282,2.523,10131,8806,0.13,0.113,21307,17513,0.274,0.225,0.326,0.268,5.853,26.092,91.538,90.607,-9.337,-1.384,-5.573,-35.068
"VC",2021-01-27,"VC",5057353,10.658,4269305,10.639,142930,0,2900,145830,2.884,8.243,33930,0,0,33930,33930,0,0,33930,0.671,108454,101150,14608,2.144,74.37,7.995,2964,1053,3822,0.059,2.81,8522,2955,11134,0.169,-16.696,2.578,101150,93846,7304,2,0.144,1.856,2.369,0.171,2.198,1053,1911,0.021,0.038,2955,5567,0.058,0.11,0.069,0.13,1.052,-45.53,35.435,15.858,-24.986,-22.659,-19.808,-60.548
"EX",2021-01-27,"EX",1063987,2.242,911213,2.271,50975,0,1000,51975,4.885,2.938,11700,0,0,11700,11700,0,0,11700,1.1,37790,34656,6268,3.552,72.708,2.786,2349,936,2826,0.221,6.628,6849,3969,5760,0.644,8.439,2.072,34656,31522,3134,3.257,0.295,2.963,3.803,0.344,3.459,936,1413,0.088,0.133,3969,2880,0.373,0.271,0.436,0.316,2.776,-18.148,82.103,96.319,24.264,31.044,30.593,-19.178
"GA",2021-01-27,"GA",2701819,5.694,2362643,5.887,87865,0,1800,89665,3.319,5.069,21060,0,0,21060,21060,0,0,21060,0.779,72676,58441,28470,2.69,81.053,5.358,2292,99,4386,0.085,3.256,13572,534,26076,0.502,8.463,4.106,58441,44206,14235,2.163,0.527,1.636,2.474,0.603,1.871,99,2193,0.004,0.081,534,13038,0.02,0.483,0.023,0.552,0.17,-67.87,18.211,20.155,-5.901,-10.976,-13.272,44.384
"RI",2021-01-27,"RI",319914,0.674,270788,0.675,14105,0,200,14305,4.472,0.809,2340,0,0,2340,2340,0,0,2340,0.731,9618,8934,1368,3.006,67.235,0.709,231,2,458,0.072,2.461,1283,643,1280,0.401,-4.111,0.388,8934,8250,684,2.793,0.214,2.579,3.299,0.253,3.047,2,229,0.001,0.072,643,640,0.201,0.2,0.237,0.236,0.022,-30.636,50.33,55.718,5.193,20.03,11.989,-41.37
"MD",2021-01-27,"MD",6779888,14.288,5695623,14.193,228075,0,4700,232775,3.433,13.158,56160,0,0,56160,56160,0,0,56160,0.828,174094,168483,11222,2.568,74.791,12.834,4593,3055,3076,0.068,2.71,44900,40101,9598,0.662,-8.986,13.584,168483,162872,5611,2.485,0.083,2.402,2.958,0.099,2.86,3055,1538,0.045,0.023,40101,4799,0.591,0.071,0.704,0.084,1.847,-12.784,37.761,43.083,-10.176,-7.909,-0.361,-77.26
"MC",2021-01-27,"MC",1511251,3.185,1237479,3.084,59225,0,1200,60425,3.998,3.416,14040,0,0,14040,14040,0,0,14040,0.929,50957,43504,14906,3.372,84.331,3.757,2305,681,3248,0.153,4.738,11815,5884,11862,0.782,-0.898,3.575,43504,36051,7453,2.879,0.493,2.386,3.516,0.602,2.913,681,1624,0.045,0.107,5884,5931,0.389,0.392,0.475,0.479,1.59,-16.266,27.861,21.164,17.959,7.253,15.437,35.068
"NC",2021-01-27,"NC",661197,1.393,552935,1.378,27645,0,500,28145,4.257,1.591,7020,0,0,7020,7020,0,0,7020,1.062,20057,17516,5082,3.033,71.263,1.479,1354,570,1568,0.205,7.239,5498,3460,4076,0.832,-3.746,1.663,17516,14975,2541,2.649,0.384,2.265,3.168,0.46,2.708,570,784,0.086,0.119,3460,2038,0.523,0.308,0.626,0.369,3.364,-18.665,44.622,39.781,6.174,14.214,6.215,5.205
"PV",2021-01-27,"PV",2220504,4.68,1898123,4.73,74700,0,1400,76100,3.427,4.302,18720,0,0,18720,18720,0,0,18720,0.843,50850,44213,13274,2.29,66.82,3.749,1923,445,2956,0.087,3.93,17327,11080,12494,0.78,-16.929,5.242,44213,37576,6637,1.991,0.299,1.692,2.329,0.35,1.98,445,1478,0.02,0.067,11080,6247,0.499,0.281,0.584,0.329,1.017,-31.133,28.649,30.992,-19.893,-8.077,-20.168,-18.082
"CE",2021-01-27,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.123,0,0,0,0,0,0,0,0,0,1829,1326,1006,2.172,83.899,0.135,0,0,0,0,0,719,245,948,0.854,-4.005,0.218,1326,823,503,1.575,0.597,0.977,2.004,0.76,1.244,0,0,0,0,245,474,0.291,0.563,0.37,0.716,0,-10.909,0,0,-23.729,-30.508,-36.848,63.562
