"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-15,"AN",8464411,17.838,7062213,17.598,820260,303300,73300,1196860,14.14,17.984,0,0,0,0,80730,94700,0,175430,2.073,1098755,384979,713776,12.981,91.803,19.465,17474,0.206,1.616,164992,1.949,-0.632,17.69,741867,384979,356888,8.765,4.216,4.548,10.505,5.053,5.451,6051,11423,0.071,0.135,-5372,63808,101184,0.754,1.195,0.904,1.433,-37376,0.822,-11.861,3.307,8.049,9.121,0.818,5.26,18.128
"AR",2021-03-15,"AR",1329391,2.802,1132764,2.823,147735,47600,12600,207935,15.641,3.124,0,0,0,0,17550,14900,0,32450,2.441,180393,63447,116946,13.57,86.755,3.196,2294,0.173,1.288,27199,2.046,5.59,2.916,121920,63447,58473,9.171,4.398,4.773,10.763,5.162,5.601,1372,922,0.103,0.069,450,18916,8283,1.423,0.623,1.67,0.731,10633,1.138,4.054,1.602,9.274,14.061,11.492,10.136,23.228
"AS",2021-03-15,"AS",1018784,2.147,901209,2.246,144815,36600,12700,194115,19.054,2.917,0,0,0,0,16380,11400,0,27780,2.727,163493,50479,113014,16.048,84.225,2.896,4252,0.417,2.67,30482,2.992,10.214,3.268,106986,50479,56507,10.501,5.547,4.955,11.871,6.27,5.601,2493,1759,0.245,0.173,734,18571,11911,1.823,1.169,2.061,1.322,6660,2.386,7.952,3.213,13.937,34.886,35.864,26.108,55.422
"IB",2021-03-15,"IB",1171543,2.469,986279,2.458,76410,41900,6500,124810,10.653,1.875,0,0,0,0,10530,13100,0,23630,2.017,108484,46180,62304,9.26,86.919,1.922,2299,0.196,2.165,24279,2.072,-3.586,2.603,77332,46180,31152,6.601,2.659,3.942,7.841,3.159,4.682,1501,798,0.128,0.068,703,17552,6727,1.498,0.574,1.78,0.682,10825,1.979,-8.057,2.629,10.405,-22.155,-24.058,-20.728,-25.497
"CN",2021-03-15,"CN",2175952,4.586,1871033,4.662,167280,78000,14300,259580,11.929,3.9,0,0,0,0,18720,24300,0,43020,1.977,215260,87936,127324,9.893,82.926,3.813,4769,0.219,2.266,39989,1.838,6.043,4.287,151598,87936,63662,6.967,2.926,4.041,8.102,3.403,4.7,3720,1049,0.171,0.048,2671,31253,8736,1.436,0.401,1.67,0.467,22517,2.516,4.476,1.675,12.072,-16.856,-14.959,-16.332,-18.016
"CB",2021-03-15,"CB",582905,1.228,501384,1.249,70935,20800,5900,97635,16.75,1.467,0,0,0,0,8190,6500,0,14690,2.52,77788,27684,50104,13.345,79.672,1.378,1014,0.174,1.321,9774,1.677,5.711,1.048,52736,27684,25052,9.047,4.298,4.749,10.518,4.997,5.522,520,494,0.089,0.085,26,5724,4050,0.982,0.695,1.142,0.808,1674,0.996,2.05,2.012,11.356,12.215,19.463,8.647,20.426
"CL",2021-03-15,"CL",2394918,5.047,2092873,5.215,324975,85800,27300,438075,18.292,6.582,0,0,0,0,39780,26800,0,66580,2.78,370986,127534,243452,15.491,84.685,6.572,5862,0.245,1.605,64709,2.702,2.688,6.938,249260,127534,121726,10.408,5.083,5.325,11.91,5.816,6.094,3606,2256,0.151,0.094,1350,42634,22075,1.78,0.922,2.037,1.055,20559,1.468,0.148,1.888,7.973,30.216,30.414,24.991,42.421
"CM",2021-03-15,"CM",2045221,4.31,1719964,4.286,215145,73300,18600,307045,15.013,4.614,0,0,0,0,24570,22900,0,47470,2.321,236652,77772,158880,11.571,77.074,4.192,1802,0.088,0.767,35186,1.72,-0.326,3.772,157212,77772,79440,7.687,3.884,3.803,9.14,4.619,4.522,1396,406,0.068,0.02,990,28357,6829,1.387,0.334,1.649,0.397,21528,0.896,-1.061,0.514,2.846,-2.738,7.053,-7.686,8.826
"CT",2021-03-15,"CT",7780479,16.397,6531658,16.276,735380,278900,63400,1077680,13.851,16.193,0,0,0,0,84240,87000,0,171240,2.201,887751,403133,484618,11.41,82.376,15.727,10238,0.132,1.167,113724,1.462,-2.436,12.193,645442,403133,242309,8.296,3.114,5.181,9.882,3.71,6.172,5195,5044,0.067,0.065,151,74371,39353,0.956,0.506,1.139,0.602,35018,0.811,-5.776,2.126,4.57,-4.086,-1.244,-0.372,-12.749
"VC",2021-03-15,"VC",5057353,10.658,4269305,10.639,395650,181300,31700,608650,12.035,9.145,0,0,0,0,54990,56600,0,111590,2.206,480454,173618,306836,9.5,78.938,8.511,4955,0.098,1.042,86433,1.709,6.079,9.267,327036,173618,153418,6.467,3.034,3.433,7.66,3.594,4.067,1517,3438,0.03,0.068,-1921,46092,40341,0.911,0.798,1.08,0.945,5751,0.466,3.401,2.292,9.313,-20.144,-14.196,-22.337,-14.99
