"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,324180,0,6800,330980,18.709,313286,94.7,90764,18.725,4.885,1.072,1.285,1.319,21.575,23.232,23.499,3.701,4.973
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,55305,0,1200,56505,3.194,56482,100,11119,3.376,13.993,0.836,0.982,1.004,-5.171,-5.881,-6.024,4.249,20.501
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,58235,0,1200,59435,3.36,58177,97.9,19503,3.477,56.484,1.914,2.164,2.202,117.044,107.505,106.157,5.71,61.958
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,29610,0,600,30210,1.708,25963,85.9,5026,1.552,-30.835,0.429,0.51,0.522,-51.36,-51.138,-51.139,2.216,-37.146
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,64320,0,1300,65620,3.709,67783,103.3,14647,4.051,-19.116,0.673,0.783,0.802,-23.682,-24.938,-24.934,3.115,-11.65
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,27645,0,500,28145,1.591,25067,89.1,4261,1.498,29.557,0.731,0.85,0.869,-17.121,-18.512,-18.689,4.3,21.966
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,121395,0,2500,123895,7.003,126362,102,35051,7.553,38.765,1.464,1.675,1.708,65.935,60.587,59.897,5.276,49.644
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,82935,0,1700,84635,4.784,88888,105,21360,5.313,11.002,1.044,1.242,1.273,18.41,19.079,19.198,4.346,23.264
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,280250,0,5800,286050,16.17,261562,91.4,69431,15.634,-1.387,0.892,1.063,1.09,1.176,1.925,2.012,3.362,-4.654
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,142930,0,2900,145830,8.243,147945,101.5,44979,8.843,-22.655,0.889,1.054,1.08,0.836,1.019,1.07,2.925,-17.032
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,50975,0,1000,51975,2.938,49703,95.6,10776,2.971,31.044,1.013,1.183,1.21,14.828,13.394,13.318,4.671,32.489
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,87865,0,1800,89665,5.069,87736,97.8,29065,5.244,-10.985,1.076,1.23,1.254,21.967,17.957,17.354,3.247,-7.901
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,14105,0,200,14305,0.809,13215,92.4,3478,0.79,19.974,1.087,1.284,1.315,23.261,23.155,23.1,4.131,17.157
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,228075,0,4700,232775,13.158,199495,85.7,24312,11.924,-7.908,0.359,0.427,0.437,-59.344,-59.071,-59.062,2.942,-16.547
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,59225,0,1200,60425,3.416,60731,100.5,12580,3.63,7.242,0.832,1.017,1.046,-5.622,-2.525,-2.083,4.019,13.974
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,27645,0,500,28145,1.591,26779,95.1,6320,1.601,14.211,0.956,1.143,1.172,8.371,9.596,9.765,4.05,14.867
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,74700,0,1400,76100,4.302,59582,78.3,14059,3.561,-8.083,0.633,0.741,0.757,-28.215,-28.98,-29.097,2.683,-23.898
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.123,1950,89.4,748,0.117,-30.379,0.888,1.131,1.169,0.718,8.41,9.445,2.316,-34.318
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.123,2348,107.7,1040,0.14,-33.027,1.194,1.572,1.629,35.414,50.686,52.477,2.696,-23.523
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1733355,0,35700,1769055,100,1673054,94.573,418519,100,0,0.882,1.043,1.068,0,0,0,3.526,0
