"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-09,"AN",8464411,17.838,7062213,17.598,739530,208600,73300,1021430,12.067,18.292,0,0,0,0,77220,64400,37000,178620,2.11,951168,688057,526222,11.237,93.121,19.617,17405,9998,14814,0.206,1.864,176467,142185,68564,2.085,7.691,18.775,688057,424946,263111,8.129,3.108,5.02,9.743,3.726,6.017,9998,7407,0.118,0.088,142185,34282,1.68,0.405,2.013,0.485,1.475,3.861,2.897,27.135,9.973,2.545,12.248,4.435
"AR",2021-03-09,"AR",1329391,2.802,1132764,2.823,130185,32700,12600,175485,13.2,3.143,0,0,0,0,17550,10100,6300,33950,2.554,155770,105352,100836,11.717,88.765,3.213,2576,2348,456,0.194,1.682,24329,20809,7040,1.83,5.448,2.588,105352,54934,50418,7.925,3.793,4.132,9.3,4.451,4.85,2348,228,0.177,0.017,20809,3520,1.565,0.265,1.837,0.311,2.28,5.608,0.454,4.513,14.668,12.17,9.431,27.453
"AS",2021-03-09,"AS",1018784,2.147,901209,2.246,128435,25200,12700,166335,16.327,2.979,0,0,0,0,16380,7800,6400,30580,3.002,136277,91278,89998,13.376,81.929,2.811,3266,2863,806,0.321,2.455,17540,11976,11128,1.722,10.439,1.866,91278,46279,44999,8.96,4.417,4.543,10.128,4.993,5.135,2863,403,0.281,0.04,11976,5564,1.176,0.546,1.329,0.617,3.238,14.046,0.904,3.401,30.927,38.752,23.723,48.421
"IB",2021-03-09,"IB",1171543,2.469,986279,2.458,65880,28800,6500,101180,8.636,1.812,0,0,0,0,9360,8900,3300,21560,1.84,86720,62035,49370,7.402,85.709,1.789,2515,2255,520,0.215,2.987,25061,22537,5048,2.139,9.614,2.666,62035,37350,24685,5.295,2.107,3.188,6.29,2.503,3.787,2255,260,0.192,0.022,22537,2524,1.924,0.215,2.285,0.256,3.772,10.541,1.064,1.98,-27.542,-26.61,-26.885,-29.2
"CN",2021-03-09,"CN",2175952,4.586,1871033,4.662,148560,53700,14300,216560,9.952,3.878,0,0,0,0,18720,16600,7300,42620,1.959,180030,124068,111924,8.274,83.132,3.713,4759,3723,2072,0.219,2.715,31872,27389,8966,1.465,9.334,3.391,124068,68106,55962,5.702,2.572,3.13,6.631,2.991,3.64,3723,1036,0.171,0.048,27389,4483,1.259,0.206,1.464,0.24,3.094,6.692,1.886,28.822,-19.036,-15.438,-21.265,-13.575
"CB",2021-03-09,"CB",582905,1.228,501384,1.249,62745,14300,5900,82945,14.23,1.485,0,0,0,0,7020,4400,3000,14420,2.474,68512,47293,42438,11.754,82.599,1.413,498,281,434,0.085,0.732,8544,7909,1270,1.466,-3.675,0.909,47293,26074,21219,8.113,3.64,4.473,9.432,4.232,5.2,281,217,0.048,0.037,7909,635,1.357,0.109,1.577,0.127,0.598,-4.722,1.033,11.599,15.065,20.928,12.027,22.312
"CL",2021-03-09,"CL",2394918,5.047,2092873,5.215,285195,59000,27300,371495,15.512,6.653,0,0,0,0,38610,18200,13800,70610,2.948,314360,212021,204678,13.126,84.62,6.483,8083,5395,5376,0.338,2.639,50679,39072,23214,2.116,3.855,5.392,212021,109682,102339,8.853,4.273,4.58,10.131,4.89,5.241,5395,2688,0.225,0.112,39072,11607,1.631,0.485,1.867,0.555,2.611,-0.054,2.697,19.598,28.453,31.821,22.245,43.582
"CM",2021-03-09,"CM",2045221,4.31,1719964,4.286,190575,50400,18600,259575,12.692,4.649,0,0,0,0,23400,15600,9400,48400,2.366,205143,132090,146106,10.03,79.03,4.231,3677,3235,884,0.18,1.825,40317,36496,7642,1.971,4.646,4.289,132090,59037,73053,6.458,3.572,2.887,7.68,4.247,3.432,3235,442,0.158,0.022,36496,3821,1.784,0.187,2.122,0.222,2.511,5.334,0.609,-1.495,-1.833,7.865,-10.826,20.027
"CT",2021-03-09,"CT",7780479,16.397,6531658,16.276,651140,191900,63400,906440,11.65,16.233,0,0,0,0,80730,59200,32000,171930,2.21,789183,581987,414392,10.143,87.064,16.276,15156,10916,8480,0.195,1.958,131409,113031,36756,1.689,6.232,13.981,581987,374791,207196,7.48,2.663,4.817,8.91,3.172,5.738,10916,4240,0.14,0.054,113031,18378,1.453,0.236,1.731,0.281,1.911,3.838,2.089,23.783,-0.738,-1,3.286,-10.517
"VC",2021-03-09,"VC",5057353,10.658,4269305,10.639,340660,124700,31700,497060,9.828,8.902,0,0,0,0,52650,38500,16000,107150,2.119,426373,305964,240818,8.431,85.779,8.794,32352,25020,14664,0.64,8.211,102868,84475,36786,2.034,45.879,10.944,305964,185555,120409,6.05,2.381,3.669,7.167,2.82,4.346,25020,7332,0.495,0.145,84475,18393,1.67,0.364,1.979,0.431,8.906,42.082,6.484,66.287,-17.489,-16.476,-16.46,-19.993
