"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-05-07,"AN",8464411,17.838,7062213,17.598,2185650,951000,282000,48650,3467300,40.963,16.432,0,0,0,0,278460,281300,33500,593260,7.009,3237607,1178093,2059514,38.25,93.375,16.997,94757,1.119,3.015,55328,39429,405695,4.793,0.854,15.118,2235894,1029757,1206137,26.415,12.166,31.66,14.581,57107,39429,0.675,0.466,231824,183268,2.739,2.165,3.283,2.595,2.621,4.526,3.981,-3.628,-4.715,-7.882,-5.556,-3.083,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"AR",2021-05-07,"AR",1329391,2.802,1132764,2.823,444915,149400,58700,7600,660615,49.693,3.131,0,0,0,0,51480,44200,6900,102580,7.716,607913,213515,394398,45.729,92.022,3.191,25128,1.89,4.312,9286,15842,83699,6.296,3.215,3.119,418542,197199,221343,31.484,14.834,36.949,17.409,9332,15842,0.702,1.192,41022,46426,3.086,3.492,3.621,4.098,2.28,-8.527,8.735,16.21,13.883,11.742,12.567,18.171,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"AS",2021-05-07,"AS",1018784,2.147,901209,2.246,419765,114600,53800,5850,594015,58.306,2.815,0,0,0,0,46800,34000,6200,87000,8.54,547796,173254,374542,53.77,92.219,2.876,14007,1.375,2.624,9635,4372,73140,7.179,0.594,2.726,366161,187271,178890,35.941,18.382,40.63,20.78,9653,4372,0.948,0.429,41281,35180,4.052,3.453,4.581,3.904,2.708,10.893,2.39,-9.365,33.954,31.113,28.503,46.435,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"IB",2021-05-07,"IB",1171543,2.469,986279,2.458,248400,131500,32000,6700,418600,35.731,1.984,8190,0,0,8190,33930,39000,4100,77030,6.575,375653,153797,221856,32.065,89.74,1.972,14409,1.23,3.989,9927,4482,56306,4.806,11.548,2.098,269681,110928,158753,23.019,9.469,27.343,11.247,10520,4482,0.898,0.383,33073,24486,2.823,2.09,3.353,2.483,4.059,27.267,4.211,-2.64,-20.13,-19.644,-17.698,-24.568,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"CN",2021-05-07,"CN",2175952,4.586,1871033,4.662,486690,244500,62500,12500,806190,37.05,3.821,0,0,0,0,66690,72400,7800,146890,6.751,688738,260106,428632,31.652,85.431,3.616,18381,0.845,2.742,8254,10127,80392,3.695,7.802,2.996,484512,214316,270196,22.267,9.849,25.895,11.454,8603,10127,0.395,0.465,35884,48408,1.649,2.225,1.918,2.587,1.808,9.446,4.96,6.49,-21.151,-16.681,-20.387,-21.541,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"CB",2021-05-07,"CB",582905,1.228,501384,1.249,198465,65400,25500,3300,292665,50.208,1.387,0,0,0,0,22230,19400,3000,44630,7.656,258387,90417,167970,44.327,88.288,1.356,7119,1.221,2.833,3656,3463,34350,5.893,0.547,1.28,175734,83985,91749,30.148,14.408,35.05,16.751,3886,3463,0.667,0.594,19202,15997,3.294,2.744,3.83,3.191,2.261,8.725,4.301,-7.382,10.423,12.948,7.791,14.777,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"CL",2021-05-07,"CL",2394918,5.047,2092873,5.215,982515,269100,128400,13800,1393815,58.199,6.606,0,0,0,0,105300,79600,14700,199600,8.334,1234278,410102,824176,51.537,88.554,6.48,41833,1.747,3.508,16265,25568,167216,6.982,3.559,6.231,834020,412088,421932,34.825,17.207,39.85,19.69,17169,25568,0.717,1.068,89803,83980,3.75,3.507,4.291,4.013,2.102,0.38,6.615,5.722,28.393,30.89,24.513,37.075,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"CM",2021-05-07,"CM",2045221,4.31,1719964,4.286,619965,228800,81200,11700,941665,46.042,4.463,0,0,0,0,67860,67000,9300,144160,7.049,831038,310680,520358,40.633,88.252,4.363,29561,1.445,3.688,15578,13983,105319,5.15,1.078,3.925,577083,260179,316904,28.216,12.721,33.552,15.127,15803,13983,0.773,0.684,63156,43986,3.088,2.151,3.672,2.557,2.816,-4.069,5.68,6.656,1.23,3.55,0.883,1.338,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"CT",2021-05-07,"CT",7780479,16.397,6531658,16.276,2160440,874100,285700,44700,3364940,43.248,15.947,0,0,0,0,272610,258600,34400,565610,7.27,3013402,1056844,1956558,38.73,89.553,15.82,83201,1.069,2.839,33984,49217,422767,5.434,-0.162,15.754,2061440,978279,1083161,26.495,12.574,31.561,14.977,34878,49217,0.448,0.633,240728,194929,3.094,2.505,3.686,2.984,1.721,3.48,5.297,-4.829,-3.519,-2.744,-5.27,0.167,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
"VC",2021-05-07,"VC",5057353,10.658,4269305,10.639,1323460,568100,174300,29000,2094860,41.422,9.928,0,0,0,0,187200,168100,22700,378000,7.474,1936976,721250,1215726,38.3,92.463,10.169,54642,1.08,2.903,20661,33981,270449,5.348,0.502,10.078,1353296,607863,745433,26.759,12.019,31.698,14.238,20861,33981,0.412,0.672,155628,129586,3.077,2.562,3.645,3.035,1.566,3.979,5.921,-4.063,-4.588,-6.849,-4.326,-4.254,2021-05-11,2021-06-24,2021-08-07,2021-06-21,2021-08-13,2021-10-04,2021-06-09,2021-07-23,2021-09-06
