"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-01,"AN",8464411,17.838,7062213,17.598,324180,0,6800,330980,3.91,18.709,0,0,0,0,79560,0,0,79560,0.94,299792,142512,157280,3.542,90.577,18.629,5599,0.066,1.903,73483,0.868,0.116,19.771,221152,142512,78640,2.613,0.929,1.684,3.131,1.114,2.018,1889,3710,0.022,0.044,-1821,20359,53124,0.241,0.628,0.288,0.752,-32765,0.862,-9.225,4.951,4.224,4.434,4.883,-0.91,23.21
"AR",2021-02-01,"AR",1329391,2.802,1132764,2.823,55305,0,1200,56505,4.25,3.194,0,0,0,0,14040,0,0,14040,1.056,55292,34564,20728,4.159,97.853,3.436,452,0.034,0.824,12753,0.959,0.275,3.431,44928,34564,10364,3.38,0.78,2.6,3.966,0.915,3.051,248,204,0.019,0.015,44,4611,8142,0.347,0.612,0.407,0.719,-3531,0.555,-3.151,2.008,2.325,22.627,13.99,28.176,3.448
"AS",2021-02-01,"AS",1018784,2.147,901209,2.246,58235,0,1200,59435,5.834,3.36,0,0,0,0,14040,0,0,14040,1.378,58112,19162,38950,5.704,97.774,3.611,1731,0.17,3.07,14186,1.392,6.863,3.817,38637,19162,19475,3.792,1.912,1.881,4.287,2.161,2.126,661,1070,0.065,0.105,-409,3741,10445,0.367,1.025,0.415,1.159,-6704,1.741,17.864,5.814,3.406,68.188,56.497,43.8,153.581
"IB",2021-02-01,"IB",1171543,2.469,986279,2.458,29610,0,600,30210,2.579,1.708,0,0,0,0,7020,0,0,7020,0.599,25559,15995,9564,2.182,84.604,1.588,173,0.015,0.681,3476,0.297,-9.267,0.935,20777,15995,4782,1.773,0.408,1.365,2.107,0.485,1.622,35,138,0.003,0.012,-103,1407,2069,0.12,0.177,0.143,0.21,-662,0.169,-25.239,2.972,6.157,-35.682,-30.822,-32.765,-45.889
"CN",2021-02-01,"CN",2175952,4.586,1871033,4.662,64320,0,1300,65620,3.016,3.709,0,0,0,0,18135,0,0,18135,0.833,64475,41473,23002,2.963,98.255,4.006,1432,0.066,2.271,14365,0.66,2.997,3.865,52974,41473,11501,2.435,0.529,1.906,2.831,0.615,2.217,522,910,0.024,0.042,-388,6857,7508,0.315,0.345,0.366,0.401,-651,0.995,-1.664,8.592,7.657,-12.647,-19.123,-7.66,-29.841
"CB",2021-02-01,"CB",582905,1.228,501384,1.249,27645,0,500,28145,4.828,1.591,0,0,0,0,7020,0,0,7020,1.204,23626,18152,5474,4.053,83.944,1.468,662,0.114,2.883,3163,0.543,26.469,0.851,20889,18152,2737,3.584,0.47,3.114,4.166,0.546,3.62,57,604,0.01,0.104,-547,667,2496,0.114,0.428,0.133,0.498,-1829,0.274,9.344,28.317,31.924,19.544,29.56,35.912,-37.666
"CL",2021-02-01,"CL",2394918,5.047,2092873,5.215,121395,0,2500,123895,5.173,7.003,0,0,0,0,28080,0,0,28080,1.172,124225,55333,68892,5.187,100.266,7.719,3161,0.132,2.611,30168,1.26,2.026,8.117,89779,55333,34446,3.749,1.438,2.31,4.29,1.646,2.644,19,3142,0.001,0.131,-3123,5315,24853,0.222,1.038,0.254,1.188,-19538,0.021,-20.446,10.037,8.581,52.942,38.756,42.169,90.716
"CM",2021-02-01,"CM",2045221,4.31,1719964,4.286,82935,0,1700,84635,4.138,4.784,0,0,0,0,21060,0,0,21060,1.03,84605,49685,34920,4.137,99.965,5.257,2280,0.111,2.77,23217,1.135,3.698,6.247,67145,49685,17460,3.283,0.854,2.429,3.904,1.015,2.889,622,1658,0.03,0.081,-1036,7765,15452,0.38,0.756,0.451,0.898,-7687,0.935,-8.183,10.492,10.91,21.972,10.998,24.498,13.263
"CT",2021-02-01,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,16.17,0,0,0,0,69030,0,0,69030,0.887,256555,135203,121352,3.297,89.689,15.942,11328,0.146,4.619,71777,0.923,11.583,19.312,195879,135203,60676,2.518,0.78,1.738,2.999,0.929,2.07,2910,8417,0.037,0.108,-5507,18573,53204,0.239,0.684,0.284,0.815,-34631,1.508,0.853,16.106,15.885,-2.775,-1.384,-4.513,3.448
"VC",2021-02-01,"VC",5057353,10.658,4269305,10.639,142930,0,2900,145830,2.884,8.243,0,0,0,0,33930,0,0,33930,0.671,136109,69319,66790,2.691,93.334,8.458,7946,0.157,6.2,31660,0.626,31.615,8.518,102714,69319,33395,2.031,0.66,1.371,2.406,0.782,1.624,586,7359,0.012,0.146,-6773,2797,28863,0.055,0.571,0.066,0.676,-26066,0.574,15.531,28.265,33.409,-20.642,-22.659,-22.981,-12.467
"EX",2021-02-01,"EX",1063987,2.242,911213,2.271,50975,0,1000,51975,4.885,2.938,0,0,0,0,11700,0,0,11700,1.1,47342,30050,17292,4.449,91.086,2.942,1794,0.169,3.939,14217,1.336,13.991,3.825,38696,30050,8646,3.637,0.813,2.824,4.247,0.949,3.298,398,1395,0.037,0.131,-997,6209,8008,0.584,0.753,0.681,0.879,-1799,1.039,5.956,19.239,21.095,31.222,31.044,37.922,7.825
"GA",2021-02-01,"GA",2701819,5.694,2362643,5.887,87865,0,1800,89665,3.319,5.069,0,0,0,0,21060,0,0,21060,0.779,85718,31522,54196,3.173,95.598,5.327,2315,0.086,2.776,18845,0.697,10.703,5.07,58620,31522,27098,2.17,1.003,1.167,2.481,1.147,1.334,39,2277,0.001,0.084,-2238,349,18496,0.013,0.685,0.015,0.783,-18147,0.067,3.561,9.174,10.854,-6.445,-10.976,-17.71,33.024
"RI",2021-02-01,"RI",319914,0.674,270788,0.675,14105,0,200,14305,4.472,0.809,0,0,0,0,2340,0,0,2340,0.731,11790,6810,4980,3.685,82.419,0.733,323,0.101,2.817,2624,0.82,10.858,0.706,9300,6810,2490,2.907,0.778,2.129,3.434,0.92,2.515,24,299,0.008,0.093,-275,451,2173,0.141,0.679,0.167,0.802,-1722,0.259,-8.519,13.647,15.955,8.754,20.03,10.239,3.183
"MD",2021-02-01,"MD",6779888,14.288,5695623,14.193,228075,0,4700,232775,3.433,13.158,0,0,0,0,56160,0,0,56160,0.828,190943,159269,31674,2.816,82.029,11.865,2495,0.037,1.324,25429,0.375,-4.089,6.842,175106,159269,15837,2.583,0.234,2.349,3.074,0.278,2.796,748,1747,0.011,0.026,-999,12226,13203,0.18,0.195,0.215,0.232,-977,0.429,-18.128,12.399,14.016,-16.958,-7.909,-2.048,-68.966
